district,Total Br(s),CROP,TERM LOAN,AGRI INFRA,ANCILLARY,AGRI Total NPA
Aizawl,110,5459,966,0,34,6459
Champhai,17,142,902,0,7,1051
Hnahthial,5,37,47,0,0,84
Khawzawl,8,57,145,0,0,202
Kolasib,20,155,207,2,77,441
Lawngtlai,12,335,334,0,9,678
Lunglei,22,51,286,0,4,341
Mamit,13,36,156,0,5,197
Saiha,7,177,679,0,1,857
Saitual,10,101,162,0,0,263
Serchhip,15,26,149,0,1,176
