District,Total Br(s),AGRI,EDN,HOUSING,PERSONAL,OTHER NPS,Total NPS
Aizawl,110,1,0,35,311,1308,1655
Champhai,17,0,0,2,15,23,40
Hnahthial,5,0,0,0,5,2,7
Khawzawl,8,0,0,1,11,10,22
Kolasib,20,0,0,0,33,90,123
Lawngtlai,12,0,0,10,62,122,194
Lunglei,22,0,0,1,54,50,105
Mamit,13,0,0,3,22,41,66
Saiha,7,0,0,5,111,53,169
Saitual,10,0,0,0,2,30,32
Serchhip,15,0,0,0,12,20,32
