District,Total Br(s),In- active CSPs,RuPaycardactivein PMJDY,Firsttimeactive RuPaycard,Aadhaar Authenti- cated SB accounts,RuPaycardissuedin KCC
Aizawl,110,14,40156,19943,118784,1683
Champhai,17,12,7826,1281,10644,160
Hnahthial,5,1,3655,2117,3350,23
Khawzawl,8,10,3903,903,4516,94
Kolasib,20,13,13436,3679,11934,210
Lawngtlai,12,17,21439,11989,13520,131
Lunglei,22,7,22283,8542,19215,90
Mamit,13,15,8034,1845,5867,27
Saiha,7,19,5743,1588,7910,437
Saitual,10,3,4145,1342,4589,354
Serchhip,15,8,5883,1214,5611,152
