District,Total Br,Micro,Small,Medium,Other Msme,Msme Total O/S
Aizawl,110,13523,1261,35,79,14898
Champhai,17,2106,54,0,14,2174
Hnahthial,5,336,7,0,10,353
Khawzawl,8,654,16,0,5,675
Kolasib,20,2942,32,0,24,2998
Lawngtlai,12,1389,30,0,14,1433
Lunglei,22,3687,96,0,19,3802
Mamit,13,1370,17,0,16,1403
Saiha,7,1006,21,0,1,1028
Saitual,10,872,1,0,8,881
Serchhip,15,1727,34,1,8,1770
