district,Total Br(s),Current Year Self-Help Group No.,Amt.,NRLM O/S No.,Amt.,NRLM Irregular No.,Amt.,NRLM NPA No.,Amt.,%
Aizawl,110,42,1.05,157,1.05,27,1.05,4,1.05,0.4
Champhai,17,101,19.81,400,19.81,62,19.81,9,19.81,1.82
Hnahthial,5,20,0,20,0,1,0,0,0,0
Khawzawl,8,49,8.45,174,8.45,18,8.45,12,8.45,3.54
Kolasib,20,62,45.39,344,45.39,25,45.39,31,45.39,7.28
Lawngtlai,12,43,15.57,214,15.57,32,15.57,23,15.57,6.04
Lunglei,22,23,0,48,0,5,0,0,0,0
Mamit,13,149,35.94,413,35.94,84,35.94,28,35.94,6.03
Saiha,7,135,67.86,357,67.86,56,67.86,64,67.86,9.82
Saitual,10,68,1.68,141,1.68,29,1.68,1,1.68,0.6
Serchhip,15,134,13.74,402,13.74,83,13.74,13,13.74,1.79
