district,Total Br(s),Sishu,Kishore,Tarun,Total MUDRA Disb.
Aizawl,110,2760,2472,513,5745
Champhai,17,30,171,50,251
Hnahthial,5,21,25,5,51
Khawzawl,8,44,59,13,116
Kolasib,20,372,903,50,1325
Lawngtlai,12,50,155,49,254
Lunglei,12,124,258,85,467
Mamit,13,16,76,10,102
Saiha,7,10,23,22,55
Saitual,10,31,93,17,141
Serchhip,15,27,131,34,192
