District,Total Br(s),Export No.,Amt,Education No.,Housing No.,Social Infra. No.,Renew- able No.,Others No.,Total Other PS O/S No.
Aizawl,110,0,56719.47,217,5733,1,1,8153,14105
Champhai,17,0,4632.53,6,643,0,0,1,650
Hnahthial,5,0,1535.83,1,160,0,0,0,161
Khawzawl,8,0,2238.47,3,257,0,0,0,260
Kolasib,20,0,7758.93,11,802,0,0,3003,3816
Lawngtlai,12,0,16509.05,13,2083,0,0,2,2098
Lunglei,22,0,15674.54,17,1996,0,0,22,2035
Mamit,13,0,3775.79,0,458,0,0,1,459
Saiha,7,0,11430.54,6,1508,0,0,0,1514
Saitual,10,0,1311.66,3,183,0,0,0,186
Serchhip,15,0,6767.15,10,798,0,0,1,809
