District,Total Branch,PMJJBY,PMSBY,APY,Total Enrolment
Aizawl,110,113113,217097,7313,337523
Champhai,17,18410,23370,803,42583
Hnahthial,5,10164,12825,231,23220
Khawzawl,8,9028,13524,329,22881
Kolasib,20,21673,36117,1386,59176
Lawngtlai,12,18614,25389,1101,45104
Lunglei,22,31774,64102,1955,97831
Mamit,13,21064,36159,836,58059
Saiha,7,9554,11255,487,21296
Saitual,10,11588,14412,386,26386
Serchhip,15,22276,26318,802,49396
