District,branch_rural,branch_semi_urban,branch_urban,total_branch
Adilabad,54.0,17.0,37.0,108.0
Bhadradri Kothagudem,67.0,110.0,0.0,177.0
Hanumakonda,38.0,21.0,108.0,167.0
Hyderabad,8.0,3.0,1124.0,1135.0
Jagitial,65.0,37.0,29.0,131.0
Jangoan,32.0,31.0,1.0,64.0
Jayashankar Bhupalapally,28.0,21.0,0.0,49.0
Jogulamba Gadwal,22.0,38.0,0.0,60.0
Kamareddy,74.0,63.0,1.0,138.0
Karimnagar,91.0,40.0,89.0,220.0
Khammam,97.0,64.0,92.0,253.0
Kumuram Bheem Asifabad,41.0,14.0,1.0,56.0
Mahabubabad,25.0,47.0,2.0,74.0
Mahabubnagar,50.0,26.0,63.0,139.0
Mancherial,47.0,73.0,7.0,127.0
Medak,59.0,46.0,2.0,107.0
Medchal Malkajgiri,43.0,109.0,513.0,665.0
Mulugu,26.0,11.0,1.0,38.0
Nagarkurnool,48.0,43.0,1.0,92.0
Nalgonda,94.0,45.0,95.0,234.0
Narayanpet,27.0,28.0,0.0,55.0
Nirmal,55.0,33.0,5.0,93.0
Nizamabad,144.0,57.0,82.0,283.0
Peddapalli,42.0,47.0,29.0,118.0
Rajanna Sircilla,39.0,30.0,6.0,75.0
Ranga Reddy,155.0,109.0,515.0,779.0
Sangareddy,89.0,121.0,39.0,249.0
Siddipet,72.0,47.0,37.0,156.0
Suryapet,64.0,55.0,43.0,162.0
Vikarabad,56.0,45.0,5.0,106.0
Wanaparthy,23.0,36.0,1.0,60.0
Warangal,43.0,21.0,69.0,133.0
Yadadri Bhuvanagiri,56.0,53.0,3.0,112.0
