District,total_branch,deposits_rural,deposits_semi_urban,deposits_urban,total_deposit,advances_rural,advances_semi_urban,advances_urban,total_advance,cd_ratio
Adilabad,108.0,1719.98,576.13,2181.44,4477.55,2366.1,1288.8,7103.96,10758.86,240.28
Bhadradri Kothagudem,177.0,1201.01,6818.57,1.67,8021.25,1997.37,6836.14,236.5,9070.01,113.07
Hanumakonda,167.0,844.96,651.66,11669.0,13165.62,1684.31,1652.51,14564.23,17901.05,135.97
Hyderabad,1135.0,31.83,224.04,407568.35,407824.22,168.49,2205.52,510510.8,512884.81,125.76
Jagitial,131.0,1657.12,2066.81,1800.65,5524.58,2810.88,2390.42,2217.89,7419.19,134.29
Jangoan,64.0,723.11,1184.47,6.23,1913.81,1970.63,2695.01,4.5,4670.14,244.02
Jayashankar Bhupalapally,49.0,565.96,1104.53,0.0,1670.49,1086.82,1143.99,5.37,2236.18,133.86
Jogulamba Gadwal,60.0,479.94,1503.48,0.0,1983.42,1423.27,2430.9,44.49,3898.66,196.56
Kamareddy,138.0,1261.04,2507.04,10.86,3778.94,2831.08,4238.05,99.7,7168.83,189.7
Karimnagar,220.0,3571.15,2047.34,6847.45,12465.94,4090.8,2405.68,8759.02,15255.5,122.38
Khammam,253.0,2181.03,1969.77,6097.69,10248.49,4623.54,4070.56,11429.89,20123.99,196.36
Kumuram Bheem Asifabad,56.0,1403.02,718.51,14.39,2135.92,1347.03,462.36,64.78,1874.17,87.75
Mahabubabad,74.0,486.27,1606.56,8.53,2101.36,1430.49,3596.53,85.46,5112.48,243.29
Mahabubnagar,139.0,949.36,826.51,4002.77,5778.64,2169.24,1817.09,6049.11,10035.44,173.66
Mancherial,127.0,2692.17,5510.95,342.72,8545.84,2209.59,4873.29,434.76,7517.64,87.97
Medak,107.0,920.2,1646.58,5.73,2572.51,2230.48,3181.39,591.98,6003.85,233.38
Medchal Malkajgiri,665.0,3820.25,7553.16,106266.05,117639.46,2661.38,8457.66,107427.26,118546.3,100.77
Mulugu,38.0,787.22,348.02,0.0,1135.24,1120.01,528.89,27.9,1676.8,147.7
Nagarkurnool,92.0,1143.42,1620.3,13.7,2777.42,2530.14,3440.33,336.99,6307.46,227.1
Nalgonda,234.0,2077.24,1407.56,5584.4,9069.2,5571.76,3255.28,11018.51,19845.55,218.82
Narayanpet,55.0,522.57,956.41,0.0,1478.98,1331.79,1499.2,37.22,2868.21,193.93
Nirmal,93.0,1427.16,1652.35,52.36,3131.87,2707.01,3392.89,255.52,6355.42,202.93
Nizamabad,283.0,2887.69,2187.19,4915.52,9990.4,6303.87,4127.0,7541.96,17972.83,179.9
Peddapalli,118.0,1834.6,2256.58,2871.41,6962.59,1871.7,2911.33,2024.02,6807.05,97.77
Rajanna Sircilla,75.0,973.87,2024.42,715.07,3713.36,1804.4,1999.02,734.23,4537.65,122.2
Ranga Reddy,779.0,9185.55,4969.79,70303.33,84458.67,8418.38,6692.11,62263.33,77373.82,91.61
Sangareddy,249.0,6366.49,6358.33,5938.63,18663.45,5181.89,15230.45,6688.32,27100.66,145.21
Siddipet,156.0,1668.8,1669.99,1838.02,5176.81,3233.05,2692.62,2688.6,8614.27,166.4
Suryapet,162.0,1247.76,1734.82,1691.26,4673.84,3460.97,4595.68,4273.27,12329.92,263.81
Vikarabad,106.0,1183.92,1979.21,64.2,3227.33,2242.9,2988.99,163.79,5395.68,167.19
Wanaparthy,60.0,415.71,1498.55,12.08,1926.34,1194.79,2564.65,31.2,3790.64,196.78
Warangal,133.0,718.6,645.46,8648.15,10012.21,2164.2,1935.56,6971.72,11071.48,110.58
Yadadri Bhuvanagiri,112.0,1266.35,2376.38,64.66,3707.39,2615.69,3745.01,173.3,6534.0,176.24
