District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Adilabad,16.0,0.0,0.0,1506.45,12.96,27.0,866.0,46.75,51.27,372.9,0.1,0.49,89.0,0.0,0.0,113.3,86.13,0.0,2354.07,209.56,2563.63,199.32,486.61,3249.56,800.1,3919.61,92.93,0.0,48.0,91.19,20.33,8.77,0.0,4217.95
Bhadradri Kothagudem,11.0,0.0,0.0,660.47,9.85,4.86,1351.0,18.06,3.37,195.1,0.11,0.41,165.0,1.13,4.81,112.43,123.22,0.0,2710.98,736.99,3447.97,132.67,728.9,4309.54,426.55,3054.35,55.28,0.0,202.8,536.22,26.69,23.51,0.0,5525.31
Hanumakonda,103.0,0.0,0.0,2544.8,37.6,49.72,4109.0,57.24,14.2,721.77,0.45,0.47,41.0,2.19,132.73,103.53,87.58,0.0,1432.73,400.4,1833.13,113.5,551.65,2498.28,1369.6,5333.83,120.01,0.0,75.63,403.2,96.2,1.65,0.0,4444.56
Hyderabad,1144.0,243.57,62.5,65589.99,131.95,10.96,13270.0,1412.65,49.47,8975.54,151.12,36.15,30.0,46.31,176.02,627.86,536.54,92.77,0.0,0.0,0.0,0.0,0.0,0.0,23972.55,75964.03,257.99,390.01,1203.87,2855.68,418.02,26.31,578.38,29444.82
Jagitial,65.0,0.0,0.0,566.8,20.25,59.44,1476.0,49.28,50.47,367.06,0.0,0.0,413.0,22.39,299.73,107.37,82.77,0.0,2117.96,606.43,2724.39,139.77,834.75,3698.91,1086.7,3820.27,77.21,0.0,34.07,97.65,23.14,7.47,0.0,4947.94
Jangoan,29.0,0.0,0.0,207.75,14.85,63.49,1378.0,20.43,32.78,174.96,0.2,2.58,0.0,0.0,0.0,54.99,58.25,0.0,1592.6,531.7,2124.3,116.33,410.75,2651.38,297.09,2298.51,75.54,0.0,23.39,62.32,7.76,0.97,0.0,3042.91
Jayashankar Bhupalapally,,0.0,0.0,,13.28,92.35,,3.72,13.23,,0.0,0.0,,1.83,237.66,,22.29,0.0,1010.25,500.57,1510.82,80.07,19.74,1610.63,84.04,1051.72,60.24,0.0,14.38,28.11,8.04,0.77,0.0,1745.97
Jogulamba Gadwal,10.0,0.0,0.0,310.67,6.29,42.76,602.0,13.75,12.21,105.33,0.0,0.0,0.0,0.0,0.0,10.64,16.52,0.0,2647.79,429.98,3077.77,96.0,356.81,3530.58,474.49,2155.16,51.82,0.0,14.71,112.6,19.03,7.19,0.0,4158.6
Kamareddy,76.0,0.0,0.0,515.91,6.94,20.72,820.0,39.11,28.73,346.23,0.0,0.0,1.0,0.0,0.0,78.31,46.67,0.0,3165.63,646.44,3812.07,105.38,388.86,4306.31,593.4,3441.43,67.6,0.0,33.49,136.12,18.27,3.39,0.0,5090.98
Karimnagar,59.0,0.0,0.0,2396.62,18.22,45.0,1729.0,299.61,170.3,767.35,3.1,17.69,566.0,16.86,173.99,261.41,193.6,0.0,2301.55,517.39,2818.94,94.98,664.51,3578.43,1063.45,6528.57,133.63,0.0,40.49,175.94,17.52,9.69,0.0,4885.52
Khammam,61.0,0.0,0.0,2188.81,38.39,16.22,3517.0,53.56,11.53,829.5,4.15,13.19,344.0,15.09,82.1,221.38,208.26,0.0,3292.28,699.51,3991.79,177.76,797.1,4966.65,520.65,8050.14,129.05,0.0,236.62,464.38,31.47,18.38,0.0,6238.15
Kumuram Bheem Asifabad,18.0,0.0,0.0,154.72,0.72,2.04,129.0,2.29,3.23,37.91,0.0,0.0,44.0,0.08,1.35,26.91,18.96,0.0,1519.37,224.57,1743.94,133.4,246.96,2124.3,265.59,1144.28,45.46,0.0,35.21,70.85,15.18,5.92,0.0,2517.05
Mahabubabad,24.0,0.0,0.0,386.2,12.13,96.35,1178.0,13.95,58.2,139.52,0.1,1.08,6.0,0.34,34.34,74.17,82.58,0.0,1688.76,429.63,2118.39,113.07,395.91,2627.37,282.36,2856.04,96.6,0.0,12.59,23.97,9.29,0.99,0.0,2956.57
Mahabubnagar,39.0,0.0,0.0,1256.97,15.99,72.78,1482.0,65.18,40.36,549.79,0.2,0.77,0.0,0.0,0.0,25.37,33.64,0.0,3162.41,601.63,3764.04,84.51,484.92,4333.47,584.61,3785.18,73.6,0.0,21.97,161.51,26.08,15.54,0.0,5143.18
Mancherial,37.0,0.0,0.0,765.83,8.58,6.64,1071.0,38.96,15.53,414.19,0.1,0.28,20.0,0.0,0.0,62.56,59.88,0.0,2158.7,247.08,2405.78,137.11,561.31,3104.2,752.91,2792.37,65.21,0.0,129.26,250.89,35.58,9.08,0.0,4281.92
Medak,28.0,0.0,0.0,565.99,7.4,97.5,663.0,17.46,9.43,165.41,0.3,1.73,0.0,0.0,0.0,155.96,109.93,0.0,1758.32,521.97,2280.29,126.48,388.59,2795.36,514.77,2786.83,79.01,0.0,7.59,185.09,17.35,6.96,0.0,3527.12
Medchal Malkajgiri,177.0,0.0,0.0,17310.81,95.29,30.43,9271.0,691.4,66.02,6946.01,0.27,0.11,5.0,0.1,0.26,168.84,168.95,0.0,242.36,1191.45,1433.81,175.37,305.92,1915.1,4983.41,22332.76,261.26,0.0,313.19,1047.22,250.65,38.4,0.0,8547.97
Mulugu,90.0,0.0,0.0,64.87,9.69,67.06,786.0,3.67,13.02,32.14,0.0,0.0,6.0,0.0,0.0,3.14,2.41,0.0,831.45,415.78,1247.23,50.15,22.05,1319.43,98.98,879.31,59.84,0.0,14.45,28.18,7.7,0.7,0.0,1469.44
