District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Adilabad,124483.0,14.64,27.09,149.62,31.89,72.0,252.0,644.56,711.51,1988.67,815.65,500.25,100621.0,1999.94,1060.47,5477.41,3506.68,648.7,54.05,44.29,90.59,163.05,188.59,540.57
Bhadradri Kothagudem,296241.0,15.17,145.5,395.21,19.2,255.0,246.0,208.71,1663.0,880.24,692.74,2983.4,133518.0,1452.3,7268.77,4793.79,2388.12,3239.9,10.43,7.53,12.55,23.22,19.98,73.71
Hanumakonda,214677.0,422.15,1347.0,245.58,64.3,135.5,1016.0,820.42,1162.1,4005.11,876.64,874.54,195653.0,2710.48,2047.04,10306.27,4893.99,1281.0,31.34,47.45,70.6,100.24,132.41,382.04
Hyderabad,199273.0,3810.72,0.0,795.33,788.55,61.1,8456.0,14457.4,373.37,54998.67,11986.96,154.77,2801509.0,264874.2,1954.0,421870.31,295917.83,1118.2,0.0,1290.6,3872.12,7744.91,13555.5,26463.2
Jagitial,245605.0,29.63,149.1,328.14,24.82,175.5,331.0,184.58,549.35,682.83,471.42,597.11,95510.0,610.53,1158.72,2535.61,1320.98,662.98,19.87,14.14,33.6,78.95,52.69,199.25
Jangoan,177844.0,20.76,345.4,161.62,6.81,133.0,111.0,127.57,1212.6,466.73,193.96,1049.0,30412.0,332.22,1677.88,1441.22,681.32,1136.7,6.01,5.12,10.52,18.49,19.8,59.94
Jayashankar Bhupalapally,,0.67,3.33,,3.81,12.52,,57.84,127.01,,120.08,184.6,,219.2,259.72,,401.6,163.53,20.15,30.44,45.54,65.05,84.4,245.58
Jogulamba Gadwal,170268.0,25.32,47.95,159.17,4.79,6.85,71.0,82.01,83.66,342.89,132.46,96.93,27335.0,303.72,190.48,1175.38,548.3,106.09,52.8,69.89,98.03,136.65,159.45,516.82
Kamareddy,304633.0,12.11,27.26,325.33,10.37,16.55,173.0,205.53,226.48,788.05,332.92,266.02,46514.0,457.36,294.08,2163.25,1018.29,212.81,44.42,62.65,90.75,125.15,155.52,478.49
Karimnagar,268384.0,104.13,50.15,245.02,60.99,21.36,853.0,570.61,122.17,2171.85,887.38,131.53,169069.0,1802.52,187.74,6816.16,3425.63,132.01,207.63,285.5,467.06,674.65,960.13,2594.97
