District,q4_fy_2023_24_no,approved_amt,cumulative_during_the_fy_no
Adilabad,500.0,72.85,1614.0
Bhadradri Kothagudem,270.0,13.54,1113.0
Hyderabad,5133.0,1108.37,14345.0
Jagitial,147.0,17.41,553.0
Jangoan,107.0,8.42,247.0
Jayashankar Bhupalapally,85.0,6.1,246.0
Jogulamba Gadwal,92.0,6.79,278.0
Kamareddy,174.0,17.89,564.0
Karimnagar,577.0,50.73,1711.0
Khammam,564.0,41.28,1690.0
Mahabubabad,98.0,6.57,389.0
Mahabubnagar,387.0,39.22,1485.0
Mancherial,143.0,12.93,503.0
Medak,326.0,31.49,782.0
Medchal Malkajgiri,490.0,112.31,1354.0
Nagarkurnool,88.0,10.22,303.0
Nalgonda,540.0,46.61,1889.0
Nirmal,182.0,38.29,492.0
Nizamabad,378.0,49.83,1381.0
Peddapalli,155.0,16.34,483.0
Rajanna Sircilla,102.0,8.64,383.0
Ranga Reddy,1560.0,250.22,3877.0
Sangareddy,426.0,44.94,1160.0
Siddipet,391.0,26.59,824.0
Suryapet,288.0,17.76,776.0
Vikarabad,76.0,8.58,379.0
Wanaparthy,92.0,8.53,192.0
Warangal,531.0,55.34,1267.0
Yadadri Bhuvanagiri,86.0,8.74,293.0
