district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Chumoukedima,5.51,1,534.26,472,0.00,0,40.03,41,12.17,1,591.97,515,0.00,0
Dimapur,416.42,9,3280.87,1051,278.90,13,890.08,152,14.23,5,4880.50,1230,0.00,0
Kiphire,0.00,0,0.00,0,0.00,0,10.84,5,0.00,0,10.84,5,0.00,0
Kohima,40.62,2,2548.46,988,0.00,0,355.40,49,12.00,1,2956.48,1040,0.00,0
Longleng,0.00,0,13.05,7,0.00,0,51.83,14,0.00,0,64.88,21,0.00,0
Mokokchung,58.03,4,276.14,224,0.00,0,41.80,6,0.00,0,375.97,234,0.00,0
Mon,0.00,0,315.42,123,0.00,0,32.81,20,17.50,1,365.85,146,0.12,2
Niuland,0.00,0,28.28,15,0.00,0,0.00,0,0.00,0,28.28,15,0.00,0
Peren,0.00,0,0.00,0,0.00,0,6.03,3,0.00,0,6.03,3,0.00,0
Phek,12.50,1,12.21,3,0.00,0,19.11,5,0.00,0,43.82,9,0.00,0
Shamator,0.00,0,18.10,9,0.00,0,23.70,5,0.00,0,41.80,14,0.00,0
Tseminyu,0.00,0,0.00,0,0.00,0,17.47,7,0.00,0,17.47,7,0.00,0
Tuensang,0.00,0,0.00,0,0.00,0,20.79,4,0.00,0,20.79,4,0.00,0
Wokha,0.00,0,225.13,111,0.00,0,29.48,4,0.00,0,254.61,115,0.00,0
Zunheboto,2.00,1,376.53,80,0.00,0,20.90,2,0.00,0,399.43,83,0.00,0
