district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,0.00,0,0.05,2,0.00,0,0.00,41.52,23
Dimapur,47.65,43,3.37,26,5.34,8,1.68,317.69,151
Kiphire,4.06,4,5.07,7,1.50,3,3.75,39.97,45
Kohima,37.32,14,22.65,21,3.43,4,1.91,179.89,163
Longleng,3.54,7,3.05,7,0.00,0,0.00,78.63,26
Mokokchung,179.36,120,7.11,17,10.48,11,3.40,308.24,225
Mon,81.34,39,1.38,14,4.76,6,2.62,181.70,200
Niuland,29.63,7,9.74,6,0.00,0,0.00,168.61,90
Peren,263.27,64,3.13,23,0.00,0,0.00,882.37,274
Phek,15.22,6,1.93,8,1.40,2,0.88,158.36,81
Shamator,4.70,4,0.68,3,0.00,0,0.00,30.21,39
Tseminyu,0.00,0,0.37,2,0.00,0,0.00,11.13,6
Tuensang,0.01,1,0.07,2,1.60,1,13.99,11.44,18
Wokha,41.05,11,0.72,3,4.60,4,2.32,198.55,136
Zunheboto,54.55,17,0.10,1,1.90,3,1.87,101.79,70
