district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Chumoukedima,41.99,11,324.65,82,1164.94,112,7503.34,1361
Dimapur,281.72,122,2045.98,1873,6507.79,1183,58613.71,13355
Kiphire,0.00,0,19.13,3,7.00,1,24.35,7
Kohima,33.56,6,579.21,137,3584.19,537,38884.35,7623
Longleng,0.00,0,8.90,3,13.05,7,125.87,30
Mokokchung,22.51,6,262.71,90,801.51,295,11809.35,4336
Mon,6.00,1,56.42,19,217.90,70,2955.91,828
Niuland,0.00,0,0.25,1,28.88,16,409.08,246
Noklak,0.00,0,5.11,1,5.67,3,46.16,13
Peren,0.50,2,17.81,7,87.25,44,417.86,167
Phek,0.00,0,36.83,5,26.57,6,692.55,174
Shamator,0.00,0,0.00,0,17.40,8,177.31,86
Tseminyu,0.00,0,0.63,1,81.51,24,1017.09,299
Tuensang,2.43,2,70.25,12,26.20,2,58.61,8
Wokha,0.00,0,72.51,23,195.77,101,2252.13,1005
Zunheboto,16.00,3,75.21,20,169.36,43,1069.96,427
