district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Chumoukedima,70928,7864,2,8882,561
Dimapur,181664,13704,64,31427,999
Kiphire,23504,5235,2,5235,749
Kohima,114378,6744,40,13124,466
Longleng,17233,6365,2,6720,61
Mokokchung,86433,6061,10,8483,1244
Mon,80938,18753,14,20002,412
Niuland,10098,792,0,1180,254
Noklak,6560,1483,3,1483,15
Peren,24163,5282,3,5282,1224
Phek,45430,6116,1,6404,996
Shamator,2939,1529,0,2209,7
Tseminyu,9028,660,1,640,112
Tuensang,29752,12003,0,12003,392
Wokha,45536,4648,0,6347,394
Zunheboto,36978,5620,0,6517,541
