district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Chumoukedima,1064.62,11582,8849,10037,16147,1306,5374,8130,20431,11745
Dimapur,2974.22,49456,36524,59350,71415,16864,31503,8604,85980,82381
Kiphire,417.62,8396,7466,10128,12333,1518,3347,5920,15862,9947
Kohima,1012.17,14033,10176,16649,18664,9291,9773,15457,24209,8819
Longleng,337.76,8625,7362,12078,19733,440,5673,15987,15987,0
Mokokchung,1478.89,17630,16577,20635,24682,5830,3816,15137,34207,12615
Mon,1457.75,26875,26029,33527,39996,6099,16944,22555,52904,30356
Niuland,121.12,2339,1793,3089,2179,598,536,4021,4132,112
Noklak,150.84,2674,2531,1982,4935,15,842,5205,5205,0
Peren,628.08,9296,7207,9912,15821,290,3748,16483,16503,22
Phek,1214.53,12857,10687,15634,19544,2551,4183,12084,23544,11466
Shamator,101.83,2353,1974,2039,3800,392,1240,4315,4327,12
Tseminyu,152.19,1527,895,1756,1965,268,416,2335,2422,87
Tuensang,712.80,14297,13885,10534,25320,1923,9310,4009,28182,24176
Wokha,580.56,9708,5857,9525,12342,721,2515,6420,15565,7207
Zunheboto,517.28,9554,9469,7944,12716,4305,2909,14586,19023,4437
