district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Chumoukedima,46.58,17,116,269.99,102.97,90.95,57,24.90,365.21,155,30.28,366,1175
Dimapur,228.31,77,350,715.60,243.32,160.36,117,11.70,1370.34,596,116.89,334,2136
Kiphire,2.40,2,80,88.54,138.06,35.23,23,38.32,91.94,92,11.15,293,1008
Kohima,40.46,14,124,199.98,462.79,70.81,55,14.47,489.20,313,150.20,318,2323
Longleng,3.52,3,3,3.52,35.83,0.00,0,0.00,107.74,49,35.83,339,339
Mokokchung,218.14,73,478,804.33,369.85,186.61,160,15.91,1173.27,678,47.79,445,2315
Mon,77.37,32,219,246.39,496.96,38.42,51,18.04,213.01,212,372.08,996,2332
Niuland,49.83,11,330,749.32,145.83,195.74,110,22.12,884.88,412,3.68,70,1135
Noklak,0.00,0,0,0.00,48.05,0.00,0,0.00,0.62,1,48.05,179,179
Peren,16.99,11,37,59.78,77.39,8.30,7,5.35,155.08,102,23.50,157,672
Phek,12.59,10,152,181.83,354.92,38.68,41,11.68,331.10,253,180.52,732,2116
Shamator,5.62,5,5,14.74,20.20,0.00,0,0.00,40.96,39,20.20,168,168
Tseminyu,0.00,0,5,6.60,156.68,4.21,4,17.75,23.72,21,115.36,291,657
Tuensang,40.21,18,98,111.50,359.90,15.42,30,6.71,229.68,177,171.69,695,2010
Wokha,80.76,22,137,252.12,220.55,25.99,43,4.98,521.86,276,103.28,286,1043
Zunheboto,53.25,17,108,120.33,360.84,36.81,33,22.35,164.69,149,249.44,526,1343
