district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Chumoukedima,4340,4789.42,77,703.08,5220094,137197.66,47641,19263.34,17232,454232.68,33791,981.43
Dimapur,34679,7597.66,422,978.44,12585221,475817.02,231316,25360.14,260555,3901078.04,72404,2089.08
Kiphire,0,0.00,27,36.23,827126,12755.55,1091,61.35,13,0.98,2038,61.06
Kohima,8658,3019.38,989,172.16,5877719,227260.07,98384,8899.62,51421,2101984.53,46956,1432.96
Longleng,0,0.00,13,12.77,567292,8383.79,259,6.10,8,0.93,1115,38.98
Mokokchung,790,527.45,7,0.66,3477719,78525.97,44683,2610.47,13830,185735.24,13009,366.97
Mon,188,35.41,92,3855.76,2297728,45268.62,8096,847.15,3119,154452.51,6170,164.52
Niuland,15,0.80,4,9.05,257060,3413.11,2367,65.47,5,1.10,623,27.17
Noklak,0,0.00,2,0.08,229745,3238.46,1,0.00,0,0.00,506,10.67
Peren,0,0.00,37,65.23,1054033,14989.87,1461,54.77,134,10.24,3127,83.47
Phek,0,0.00,11,8.80,1447068,26885.95,2969,113.83,2,0.01,5259,182.80
Shamator,0,0.00,9,1.96,124716,2205.35,774,20.71,3,0.03,396,9.31
Tseminyu,0,0.00,0,0.00,344662,5352.60,3692,127.83,994,201.81,1823,50.88
Tuensang,0,0.00,8,7.43,1525522,24015.57,4328,203.42,15,0.32,4880,145.81
Wokha,837,593.04,32,26.97,2077701,63608.03,9848,715.14,5833,169773.38,6943,209.68
Zunheboto,195,68.65,10,4.76,1300837,29647.81,5220,533.89,895,141085.62,4809,174.58
