district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,41.20,10,42.35,10,80.92,22,13.85,584.27,206
Dimapur,281.68,66,1660.66,158,991.18,326,33.63,2946.91,846
Kiphire,0.00,0,57.85,18,48.71,25,7.13,683.06,328
Kohima,139.29,57,1068.04,133,424.51,178,24.01,1767.91,718
Longleng,0.00,0,15.20,3,3.26,3,0.91,357.98,187
Mokokchung,4.66,5,432.36,52,568.74,131,64.64,879.85,244
Mon,6.00,4,395.73,65,24.29,12,2.68,906.96,427
Niuland,0.00,0,0.00,0,19.94,7,10.36,192.54,70
Noklak,0.00,0,0.00,0,2.97,2,2.27,130.67,60
Peren,0.00,2,19.77,5,74.71,31,12.96,576.46,231
Phek,9.65,2,36.94,10,573.48,200,46.65,1229.24,438
Shamator,0.00,0,36.29,9,0.00,0,0.00,61.94,24
Tseminyu,0.00,0,40.50,13,3.00,1,3.69,81.41,33
Tuensang,47.56,13,69.22,18,11.54,6,1.81,637.43,310
Wokha,65.00,18,423.66,57,11.42,21,1.71,669.48,222
Zunheboto,47.53,21,519.61,127,90.91,24,10.77,844.00,343
