district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Chumoukedima,36484.81,51797.02,313.97,80.10,79.64,,45550.87,65036.98,0.00,80.11,88595.80,110587.85
Dimapur,21170.92,65505.72,302018.49,71.81,161.21,57.42,29480.42,40634.23,526027.07,65.20,388695.13,596141.72
Kiphire,4035.69,13852.85,35.25,130.59,166.84,,3090.46,8302.83,0.00,157.32,17923.79,11393.29
Kohima,17814.01,192265.71,7373.22,42.85,30.57,343.44,41573.63,628835.19,2146.88,32.33,217452.94,672555.70
Longleng,12007.24,108.01,0.46,183.48,816.40,,6544.03,13.23,0.00,184.77,12115.71,6557.26
Mokokchung,26707.31,58212.46,222.08,86.14,94.78,,31005.72,61420.55,0.00,92.12,85141.85,92426.27
Mon,16785.47,22684.05,31.70,122.66,98.87,,13684.57,22944.26,0.00,107.84,39501.22,36628.83
Niuland,6445.14,2926.88,33.13,58.67,35.22,,10984.96,8309.35,0.00,48.75,9405.15,19294.31
Noklak,3034.72,82.64,68.79,81.00,62.51,,3746.47,132.21,0.00,82.15,3186.15,3878.68
Peren,22545.03,1139.08,61.97,168.50,60.91,,13380.22,1870.23,0.00,155.71,23746.08,15250.45
Phek,13621.38,20330.91,40.74,72.50,117.19,,18789.36,17348.78,0.00,94.06,33993.03,36138.14
Shamator,2882.68,0.00,0.00,150.51,,,1915.32,0.00,0.00,150.51,2882.68,1915.32
Tseminyu,8024.16,612.37,0.00,128.05,33.76,,6266.58,1813.83,0.00,106.88,8636.53,8080.41
Tuensang,5738.57,30562.89,0.00,140.38,159.34,,4087.89,19181.25,0.00,156.01,36301.46,23269.14
Wokha,8823.50,28225.07,15.78,85.16,93.00,,10361.52,30350.78,0.00,91.04,37064.35,40712.30
Zunheboto,12040.76,29409.27,72.80,80.10,194.19,1213.33,15032.15,15144.61,6.00,137.57,41522.83,30182.76
