District,cd_ratio
Chittoor,93.19
East Godavari,144.45
Guntur,116.04
Krishna,209.57
Kurnool,148.36
Prakasam,160.18
Spsr Nellore,148.26
Srikakulam,128.66
Visakhapatanam,114.22
Vizianagaram,118.5
West Godavari,145.34
Y.s.r.,131.33
