district,total_deposit,total_advance,overall_cd_ratio,deposits_prev_fy,deposits_prev_quarter,deposits_growth_abs,deposits_growth_pct,advances_prev_fy,advances_prev_quarter,advances_growth_abs,advances_growth_pct,cd_ratio_prev_fy,cd_ratio_prev_quarter,cd_ratio_benchmark
Balod,4872.01,2218.39,45.5334,4535.91,4156.36,336.1,7.4098,1695.96,1852.55,522.43,30.8044,37.3896,44.5715,40
Baloda Bazar,5276.6,3544.79,67.1794,5042.48,5071.61,234.12,4.643,2935.82,3137.95,608.97,20.7428,58.2217,61.8729,40
Balrampur,2575.49,1159.61,45.0248,2381.18,2107.69,194.31,8.1602,955.22,918.36,204.39,21.3972,40.1154,43.5719,40
Bastar,5722.28,3861.16,67.4759,5191.25,4802.63,531.03,10.2293,3264.78,3012.15,596.38,18.2671,62.8901,62.7188,40
Bemetara,3404.44,2199.96,64.6203,3238.25,2873.2,166.19,5.1321,1711.63,1841.96,488.33,28.5301,52.8566,64.1083,40
Bijapur,1033.89,592.94,57.3504,972.59,933.87,61.3,6.3028,478.7,459.04,114.24,23.8646,49.2191,49.1546,40
Bilaspur,27019.71,16017.11,59.2794,26224.65,25422.94,795.06,3.0317,13409.54,11670.32,2607.57,19.4456,51.1333,45.9047,40
Dantewada,2400.69,2240.84,93.3415,2435.54,2237.94,-34.85,-1.4309,3093.55,1516.69,-852.71,-27.5641,127.017,67.7717,40
Dhamtari,5001.84,3343.82,66.8518,4728.12,4411.29,273.72,5.7892,2866.42,2747.92,477.4,16.6549,60.6249,62.2929,40
Durg,30904.22,18259.91,59.0855,29815.92,28382.75,1088.3,3.6501,15933.99,14835.17,2325.92,14.5972,53.4412,52.2683,40
Gariaband,1980.91,1271.47,64.1862,1921.86,1631.77,59.05,3.0725,1028.96,997.57,242.51,23.5685,53.5398,61.1342,40
Gaurela-Pendra-Marwahi,1252.3,650.57,51.95,1232.82,1132.23,19.48,1.5801,529.5,494.08,121.07,22.865,42.9503,43.6378,40
Janjgir-Champa,5899.61,3258.78,55.2372,5808.27,7383.08,91.34,1.5726,2740.04,3705.91,518.74,18.9318,47.1748,50.1946,40
Jashpur,3643.17,1736.55,47.6659,3447.69,3113.86,195.48,5.6699,1520.48,1382.88,216.07,14.2106,44.1014,44.4105,40
Kabirdham,2854.92,2382.48,83.4517,2804.33,2427.68,50.59,1.804,1834.73,2045.91,547.75,29.8545,65.4249,84.2743,40
Kanker,3801.27,2350.04,61.8225,3532.01,3266.05,269.26,7.6234,1935.97,1877.98,414.07,21.3882,54.8121,57.5,40
Khairagarh-Chhuikhadan-Gandai,1366.14,950.13,69.5485,1248.42,0,117.72,9.4295,598.29,0,351.84,58.8076,47.9238,0,40
Kondagaon,2071.33,1436.34,69.3439,2020.75,1823.25,50.58,2.503,1232.58,1179.64,203.76,16.5312,60.9962,64.6998,40
Korba,11524.61,6746.29,58.5381,10601.24,10421.01,923.37,8.71,6237.21,5680.52,509.08,8.162,58.8347,54.5103,40
Korea,2164.31,691.9,31.9686,2029.1,5418.68,135.21,6.6635,1724.61,2630.22,-1032.71,-59.8808,84.9938,48.5399,40
Mahasamund,4398.12,3883.21,88.2925,4213.02,3678.58,185.1,4.3935,3190.55,3152.11,692.66,21.7097,75.7307,85.6882,40
Manendragarh-Chirmiri-Bharatpur,3832.46,1175.17,30.6636,3571.73,0,260.73,7.2998,1037.24,0,137.93,13.2978,29.0403,0,40
Mohla-Manpur-Ambagarh Chowki,1118.05,487.42,43.5955,946.39,0,171.66,18.1384,251.61,0,235.81,93.7204,26.5863,0,40
Mungeli,2077.43,1416.06,68.164,1982.27,1729.2,95.16,4.8006,1125.71,1155.84,290.35,25.7926,56.7889,66.8425,40
Narayanpur,771.01,365.74,47.4365,715.11,683.62,55.9,7.817,301.38,275.75,64.36,21.3551,42.1446,40.3367,40
Raigarh,9475.28,7408.25,78.185,9329.78,9801.18,145.5,1.5595,6669.93,6880.15,738.32,11.0694,71.4908,70.1972,40
Raipur,77184.54,86553.88,112.1389,74635.04,65639.88,2549.5,3.416,81721.78,66468.28,4832.1,5.9129,109.4952,101.262,40
Rajnandgaon,7192.65,4577.48,63.6411,6834.63,8084.43,358.02,5.2383,3735.14,4673.71,842.34,22.5518,54.6502,57.8112,40
Sakti,2612.9,1441.11,55.1537,2436.84,0,176.06,7.2249,1179.1,0,262.01,22.2212,48.3864,0,40
Sarangarh-Bilaigarh,2040.23,1191.99,58.4243,1850.77,0,189.46,10.2368,934.36,0,257.63,27.5729,50.4849,0,40
Sukma,1103.46,498.79,45.2024,948.14,867.51,155.32,16.3815,397.02,379.49,101.77,25.6335,41.8736,43.7447,40
Surajpur,4304.8,1786.02,41.489,4264.54,3931.85,40.26,0.9441,1497.65,1418.61,288.37,19.2548,35.1187,36.08,40
Surguja,6768.03,3758.12,55.5275,6931.2,6124.23,-163.17,-2.3541,3404.12,3176.72,354,10.3992,49.113,51.8713,40
