district,total_atm,atm_rural,atm_semi_urban,atm_urban,atm_rural_prev_fy,atm_rural_prev_q,atm_rural_growth_abs,atm_rural_growth_pct,atm_semi_urban_prev_fy,atm_semi_urban_prev_q,atm_semi_urban_growth_abs,atm_semi_urban_growth_pct,atm_urban_prev_fy,atm_urban_prev_q,atm_urban_growth_abs,atm_urban_growth_pct,atm_total_prev_fy,atm_total_prev_q,atm_total_growth_abs,atm_total_growth_pct
Balod,91,40,48,3,37,31,3,8.1081,46,47,2,4.3478,1,1,2,200,84,79,7,8.3333
Baloda Bazar,95,23,69,3,20,17,3,15,72,70,-3,-4.1667,2,0,1,50,94,87,1,1.0638
Balrampur,36,17,18,1,18,15,-1,-5.5556,15,11,3,20,1,0,0,0,34,26,2,5.8824
Bastar,111,20,9,82,22,16,-2,-9.0909,5,5,4,80,83,81,-1,-1.2048,110,102,1,0.9091
Bemetara,58,26,31,1,21,20,5,23.8095,30,32,1,3.3333,1,1,0,0,52,53,6,11.5385
Bijapur,19,8,9,2,8,8,0,0,11,10,-2,-18.1818,0,1,2,0,19,19,0,0
Bilaspur,328,31,34,263,28,23,3,10.7143,34,26,0,0,258,247,5,1.938,320,296,8,2.5
Dantewada,50,6,42,2,6,6,0,0,43,39,-1,-2.3256,0,1,2,0,49,46,1,2.0408
Dhamtari,92,19,24,49,21,18,-2,-9.5238,25,22,-1,-4,46,47,3,6.5217,92,87,0,0
Durg,466,51,31,384,49,45,2,4.0816,29,29,2,6.8966,383,365,1,0.2611,461,439,5,1.0846
Gariaband,48,23,22,3,23,16,0,0,23,23,-1,-4.3478,0,0,3,0,46,39,2,4.3478
Gaurela-Pendra-Marwahi,23,0,22,1,0,0,0,0,22,21,0,0,1,1,0,0,23,22,0,0
Janjgir-Champa,117,32,77,8,35,42,-3,-8.5714,74,90,3,4.0541,1,3,7,700,110,135,7,6.3636
Jashpur,60,11,47,2,10,9,1,10,46,43,1,2.1739,2,1,0,0,58,53,2,3.4483
Kabirdham,73,16,55,2,15,13,1,6.6667,53,52,2,3.7736,1,1,1,100,69,66,4,5.7971
Kanker,80,26,51,3,24,20,2,8.3333,48,48,3,6.25,1,1,2,200,73,69,7,9.589
Khairagarh-Chhuikhadan-Gandai,25,9,14,2,7,0,2,28.5714,14,0,0,0,2,0,0,0,23,0,2,8.6957
Kondagaon,41,5,34,2,5,4,0,0,33,32,1,3.0303,1,1,1,100,39,37,2,5.1282
Korba,176,22,25,129,21,18,1,4.7619,21,17,4,19.0476,126,124,3,2.381,168,159,8,4.7619
Korea,41,2,38,1,2,8,0,0,38,58,0,0,1,0,0,0,41,66,0,0
Mahasamund,99,31,64,4,31,21,0,0,67,66,-3,-4.4776,0,0,4,0,98,87,1,1.0204
Manendragarh-Chirmiri-Bharatpur,35,8,26,1,8,0,0,0,23,0,3,13.0435,1,0,0,0,32,0,3,9.375
Mohla-Manpur-Ambagarh Chowki,17,15,1,1,15,0,0,0,1,0,0,0,0,0,1,0,16,0,1,6.25
Mungeli,43,5,30,8,6,5,-1,-16.6667,27,26,3,11.1111,8,7,0,0,41,38,2,4.878
Narayanpur,21,1,19,1,1,1,0,0,20,18,-1,-5,0,0,1,0,21,19,0,0
Raigarh,162,30,40,92,27,29,3,11.1111,39,64,1,2.5641,92,90,0,0,158,183,4,2.5316
Raipur,787,87,54,646,77,65,10,12.987,64,62,-10,-15.625,638,608,8,1.2539,779,735,8,1.027
Rajnandgaon,125,19,19,87,19,36,0,0,19,32,0,0,89,86,-2,-2.2472,127,154,-2,-1.5748
Sakti,41,17,22,2,16,0,1,6.25,22,0,0,0,1,0,1,100,39,0,2,5.1282
Sarangarh-Bilaigarh,43,14,28,1,12,0,2,16.6667,28,0,0,0,1,0,0,0,41,0,2,4.878
Sukma,15,8,6,1,6,3,2,33.3333,10,9,-4,-40,0,0,1,0,16,12,-1,-6.25
Surajpur,55,14,38,3,13,9,1,7.6923,38,33,0,0,2,0,1,50,53,42,2,3.7736
Surguja,109,26,4,79,23,18,3,13.0435,1,0,3,300,81,75,-2,-2.4691,105,93,4,3.8095
