district,acp_agri_target,acp_agri_achievement,acp_agri_pct,acp_msme_target,acp_msme_achievement,acp_msme_pct,acp_other_psa_target,acp_other_psa_achievement,acp_other_psa_pct,acp_total_target,acp_total_achievement,acp_total_pct
Balod,1043.85,652.99,62.5559,217.25,195.85,90.1496,81.76,24.48,29.9413,1342.86,873.32,65.0343
Baloda Bazar,1828.46,1028.57,56.2533,364.39,353.04,96.8852,132.87,45.71,34.402,2325.72,1427.32,61.3711
Balrampur,262.6,220.56,83.9909,120,122.63,102.1917,80.6,8.83,10.9553,463.2,352.02,75.9974
Bastar,706.99,397.27,56.1917,366.57,380.65,103.841,92.16,29.46,31.9661,1165.72,807.38,69.2602
Bemetara,1606.72,779.09,48.4895,184.99,121.97,65.9333,80.17,14.94,18.6354,1871.88,916.0,48.9348
Bijapur,106.53,95.05,89.2237,6.35,22.65,356.6929,11.5,1.4,12.1739,124.38,119.1,95.7549
Bilaspur,2087.05,876.91,42.0167,2020,2696.44,133.4871,287.28,143.81,50.0592,4394.33,3717.16,84.5899
Dantewada,75.48,32.27,42.753,52.28,58.59,112.0696,10.12,6.65,65.7115,137.88,97.51,70.7209
Dhamtari,1901.01,869.04,45.7146,322,277.07,86.0466,105,30.78,29.3143,2328.01,1176.89,50.5535
Durg,2904.27,1198.83,41.2782,1003.86,3821.86,380.7164,185.57,190.53,102.6728,4093.7,5211.22,127.2985
Gariaband,900.45,427.39,47.464,77.43,87.56,113.0828,84.19,5.86,6.9604,1062.07,520.81,49.0373
Gaurela-Pendra-Marwahi,285.04,107.02,37.5456,220.97,73.76,33.3801,102.09,5.12,5.0152,608.1,185.9,30.5706
Janjgir-Champa,989.82,470.71,47.5551,264,370.2,140.2273,92.76,55.91,60.2738,1346.58,896.82,66.5998
Jashpur,616.2,174.91,28.3853,74.38,186.73,251.0487,60.07,23.69,39.4373,750.65,385.33,51.3328
Kabirdham,1390.85,798.49,57.4102,130.25,213.23,163.7083,112.58,46.13,40.9753,1633.68,1057.85,64.7526
Kanker,687.23,522.57,76.04,273.49,194.86,71.2494,214.48,20.55,9.5813,1175.2,737.98,62.7961
Khairagarh-Chhuikhadan-Gandai,681.65,435.67,63.914,23,30.5,132.6087,26.03,20.17,77.4875,730.68,486.34,66.5599
Kondagaon,428.21,282.18,65.8976,78.5,113.03,143.9873,45.24,12.81,28.3156,551.95,408.02,73.9234
Korba,510.89,232.11,45.4325,485.51,946.04,194.8549,142.35,59.35,41.693,1138.75,1237.5,108.6718
Korea,122.72,83.97,68.4241,60.51,83.29,137.6467,46.14,9.76,21.153,229.37,177.02,77.1766
Mahasamund,2219.23,1061.63,47.8378,255.85,226.14,88.3877,88.53,30.56,34.5194,2563.61,1318.33,51.4247
Manendragarh-Chirmiri-Bharatpur,170.61,122.95,72.0649,64.62,136.1,210.6159,45.72,7.01,15.3325,280.95,266.06,94.7001
Mohla-Manpur-Ambagarh Chowki,214.45,156.56,73.0054,22.67,19.62,86.5461,29.91,16.02,53.5607,267.03,192.2,71.9769
Mungeli,684.82,334.32,48.8187,138.96,100.12,72.0495,170.62,9.71,5.691,994.4,444.15,44.6651
Narayanpur,67,44.63,66.6119,15.42,24.59,159.4682,17.79,5.11,28.724,100.21,74.33,74.1742
Raigarh,1047.12,455.98,43.5461,521.11,1252.96,240.4406,407.99,45.65,11.189,1976.22,1754.59,88.7852
Raipur,6622.71,3069.41,46.3467,5882.65,12874.62,218.8575,1828.02,1786.29,97.7172,14333.38,17730.32,123.6995
Rajnandgaon,1989.15,941.25,47.3192,199.21,560.79,281.507,193.96,91.31,47.0767,2382.32,1593.35,66.8823
Sakti,671.54,329.26,49.0306,178.55,208.43,116.7348,53.74,22.88,42.5754,903.83,560.57,62.0216
Sarangarh-Bilaigarh,535.27,294.29,54.9797,234.98,73.49,31.275,30.83,6.86,22.2511,801.08,374.64,46.7669
Sukma,109.7,50.74,46.2534,17.78,22.51,126.6029,6.63,3.56,53.6953,134.11,76.81,57.2739
Surajpur,629.22,284.39,45.1972,87.65,220.83,251.9452,86.08,18.08,21.0037,802.95,523.3,65.1722
Surguja,915.79,415.52,45.3728,278.55,672.14,241.2996,34.69,37.24,107.3508,1229.03,1124.9,91.5275
