district,target_for_2024_25_no_of_prj,mm_involve_in_lakh,forwarded_to_bank_no_of_prj,mm_involve_in_lakh,sanctioned_by_bank_no_of_prj,mm_involve_in_lakh,margin_money_claimed_no_of_prj,mm_involve_in_lakh,mm_disbursed_no_of_prj,mm_involve_in_lakh,returned_by_bank_no_of_prj,mm_in_lakh,pending_at_bank_no_of_prj,mm_involve_in_lakh,pending_for_mm_disbursement_no_of_prj,mm_in_lakh
Bokaro,98,268.52,402,1406.08,122,318.76,147,398.25,66,138.18,225,811.95,63,332.32,99,308.29
Chatra,42,115.08,190,653.07,36,131.82,64,196.38,39,107.11,109,335.03,49,216.63,29,96.68
Deoghar,60,164.40,310,800.28,92,264.77,134,395.37,80,203.26,194,481.39,37,91.72,67,233.02
Dhanbad,97,265.78,503,1242.60,199,312.75,271,424.83,126,160.46,262,714.62,64,232.34,182,308.80
Dumka,73,200.02,282,671.77,83,185.27,121,264.90,68,116.08,184,464.50,21,43.63,64,172.78
Garhwa,43,117.82,194,709.65,53,175.01,62,225.13,28,105.24,99,351.86,48,194.64,37,126.89
Giridih,70,191.80,481,1397.73,172,445.88,186,510.61,80,179.37,254,722.69,73,260.97,125,361.48
Godda,70,191.80,337,883.90,102,261.73,120,245.26,74,145.11,203,518.24,41,112.22,72,159.25
Gumla,45,123.30,230,810.48,78,266.37,105,319.71,40,104.39,131,429.41,27,113.19,67,220.92
Hazaribagh,103,282.22,577,1929.29,138,440.89,213,586.18,123,283.17,374,1181.66,75,326.89,113,337.68
Jamtara,42,115.08,235,613.81,44,79.09,72,185.19,38,109.95,159,438.66,35,91.66,40,90.07
Khunti,48,131.52,178,484.33,51,99.24,81,135.74,47,64.92,114,312.84,20,67.73,43,86.22
Koderma,48,131.52,219,539.69,38,122.27,61,143.58,27,56.59,162,365.05,23,67.75,45,118.58
Latehar,35,95.90,84,307.26,33,79.39,47,112.57,30,81.28,38,140.54,16,83.04,22,45.56
Lohardaga,44,120.56,196,577.09,65,180.43,95,242.30,49,148.16,119,348.78,23,84.36,55,134.68
Pakur,48,131.52,193,283.95,37,64.67,36,82.12,27,41.06,132,179.49,25,34.73,19,53.06
Palamu,57,156.18,201,725.73,39,127.25,55,134.23,38,104.67,113,372.54,54,231.62,27,82.40
Ramgarh,72,197.28,234,856.91,76,286.45,100,345.92,43,147.71,125,428.70,42,139.14,63,222.25
Ranchi,99,271.26,635,2296.23,205,711.07,253,748.80,126,318.20,339,1149.92,107,434.56,144,491.47
Sahibganj,70,191.80,253,467.39,93,123.31,142,209.28,79,103.45,138,243.00,26,92.68,77,119.61
Simdega,42,115.08,140,443.96,42,118.66,34,87.47,24,71.03,83,265.69,20,67.14,17,35.22
