district,no_of_cases_pending_as_on_previous_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_filed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_disposed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_pending_at_the_end_of_the_quarter_no_of_a_cs,amount_in_lacs
Bokaro,9216,28012.82,222,409.73,374,631.59,9044,27705.92
Chatra,982,937.43,9,14.40,2,2.05,989,949.78
Deoghar,4177,6534.73,481,1266.18,116,87.03,4541,7695.31
Dhanbad,4960,8791.61,1024,3040.34,113,395.16,5871,11436.34
Dumka,687,654.73,22,26.06,1,5.00,708,675.79
East Singhbhum,1558,4937.83,122,472.56,47,58.67,1627,5320.89
Garhwa,358,240.00,1,1.50,0,0.00,359,241.50
Giridih,9870,11385.43,24,115.84,13,55.91,9881,11445.36
Godda,1160,1150.90,50,54.09,97,114.86,1114,1092.13
Gumla,221,1562.10,4,7.50,5,9.56,220,1559.47
Hazaribagh,3438,6429.65,21,18.43,22,43.46,3435,6396.82
Jamtara,523,485.23,72,38.53,32,27.42,563,496.34
Khunti,52,458.16,4,8.45,3,4.45,53,461.88
Koderma,1115,3292.05,52,66.25,27,25.63,1140,3332.67
Latehar,349,266.84,3,5.34,17,9.13,335,262.81
Lohardaga,61,962.04,5,9.95,3,4.45,63,217.31
Pakur,1507,1302.68,66,162.00,491,236.40,1082,1228.28
Palamu,1197,870.24,1,3.00,0,0.00,1198,873.01
Ramgarh,1273,1645.28,25,97.93,19,35.54,1254,1579.99
Ranchi,2214,56646.00,122,533.11,41,809.75,2276,56265.50
Sahibganj,1306,1607.27,62,140.08,94,82.59,1274,1664.76
Seraikela-Kharsawan,440,1321.80,25,125.77,6,23.23,459,1424.65
Simdega,77,171.51,24,155.51,0,0.00,101,326.58
West Singhbhum,429,1601.83,16,56.43,4,13.00,446,1673.34
