district,target_fy_2024_25_ac,amt,priority_sector_outstanding_as_on_as_on_31st_march_2024_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_acp_ac,amt,outstanding_as_on_as_on_31st_march_2025_ac,amt,non_priority_sector_outstanding_as_on_as_on_31st_march_2024_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_acp_ac,amt,outstanding_as_on_as_on_31st_march_2025_ac,amt
Bokaro,2081,24553,3449,31287,591,3173,3165,29643,4379,69051,1286,21533,4527,80754
Chatra,59,977,166,1272,40,316,165,1395,193,3001,58,788,214,3467
Deoghar,854,10772,1967,12104,228,1217,1597,11068,1887,31848,590,11669,1955,39550
Dhanbad,5944,41956,10549,88994,1742,12515,10002,88087,7710,78448,2007,33999,7790,98646
Dumka,180,2551,813,6081,156,1091,753,6044,338,6596,100,1922,356,7881
East Singhbhum,6786,75617,10383,75170,1490,8122,9553,74120,15264,233295,3315,69420,14396,265859
Garhwa,156,1410,307,2455,67,390,278,2421,181,2556,74,1136,198,3428
Giridih,511,6770,978,7439,147,789,886,7031,948,16818,328,5323,1047,20497
Godda,248,2997,1267,10286,180,1771,1054,10231,357,4168,146,2702,366,6229
Gumla,138,1985,293,2452,55,344,270,2451,231,4798,61,1680,251,5826
Hazaribagh,986,12770,2329,18722,266,1350,2097,17264,2363,35969,678,12957,2582,45211
Jamtara,66,894,381,2406,46,319,331,2255,294,2766,44,597,238,3049
Khunti,114,1414,234,2105,60,337,227,2113,218,4329,59,1291,224,5114
Koderma,263,2938,639,4064,59,504,558,4090,377,6985,102,2137,398,8139
Latehar,68,1006,198,1930,47,220,185,1920,120,2324,30,629,127,2752
Lohardaga,163,1423,270,2145,35,94,251,1951,211,4329,55,1128,236,4864
Pakur,108,1391,420,3644,66,167,380,3277,360,4998,118,1639,351,6143
Palamu,361,4320,794,6445,187,1095,765,6384,559,10333,145,2970,599,12355
Ramgarh,720,10561,992,9066,179,756,865,8201,1474,27213,514,8846,1549,31791
Ranchi,8825,150047,13156,146781,2373,17732,11994,140078,20963,419537,5247,128520,21286,484312
Sahibganj,138,1592,529,4301,207,562,560,4217,277,3185,66,1091,276,3943
Seraikela-Kharsawan,1019,10118,1461,10432,320,1604,1497,10667,1932,30219,486,9190,1919,34686
Simdega,61,468,127,1078,11,51,120,1010,94,1611,24,351,107,1984
West Singhbhum,347,5961,920,8481,189,1271,885,8147,831,13528,228,4660,917,16438
