district,shishu_accounts,amount,kishor_accounts,amount,tarun_accounts,amount,tarun_plus_accounts,amount,total_accounts,amount,col_12
Bokaro,28221,10538.51,19048,21539.34,2292,13790.40,27,316.95,49588,46185.20,
Chatra,9989,3812.38,6765,7107.52,1548,7258.02,84,386.68,18386,18564.60,
Deoghar,12521,4807.94,11839,14325.54,1217,9120.91,64,1002.31,25641,29256.71,
Dhanbad,59263,21804.35,33180,35612.71,2918,18693.76,90,971.47,95451,77082.29,
Dumka,20484,7086.37,13374,12710.49,565,4235.86,38,584.28,34461,24617.00,
East Singhbhum,48731,17285.94,34158,37342.40,3836,25836.60,161,2056.13,86886,82521.07,
Garhwa,27418,10057.61,16121,15862.57,705,5224.80,35,562.79,44279,31707.76,
Giridih,81329,28913.77,47580,43979.84,2481,15190.69,51,774.14,131441,88858.44,
Godda,28890,9994.13,19151,19084.87,667,4683.59,51,743.78,48759,34506.36,
Gumla,21737,7115.39,9542,8712.30,1227,6203.97,11,182.62,32517,22214.28,
Hazaribagh,33730,11908.57,25585,26821.49,2830,17627.77,185,1412.07,62330,57769.90,
Jamtara,3113,997.57,2093,3243.54,366,2470.23,24,361.90,5596,7073.25,
Khunti,5492,1846.92,3447,3694.58,360,2129.08,9,137.99,9308,7808.58,
Koderma,16545,6126.21,15953,15903.19,1441,7886.91,95,291.32,34034,30207.64,
Latehar,11717,4299.00,7131,7317.02,585,4014.76,16,246.02,19449,15876.80,
Lohardaga,5829,2052.94,3912,4570.02,847,4668.27,5,86.27,10593,11377.49,
Pakur,46996,15654.13,25805,20906.01,517,2740.78,15,203.15,73333,39504.07,
Palamu,33542,12311.06,24517,24767.50,1174,9472.95,124,1958.95,59357,48510.47,
Ramgarh,23599,8523.18,15723,16367.01,1475,8850.52,85,354.89,40882,34095.61,
Ranchi,58198,20666.18,42949,49502.47,4982,34357.06,202,2219.81,106331,106745.52,
Sahibganj,31716,11075.27,16872,16164.04,728,4951.13,19,302.58,49335,32493.02,
Seraikela-Kharsawan,11851,4129.43,8156,9005.31,1349,8409.78,36,551.76,21392,22096.28,
Simdega,1928,657.63,1608,2184.93,609,3076.37,2,26.00,4147,5944.93,
West Singhbhum,15705,5399.26,10005,11172.94,1159,6637.28,17,249.09,26886,23458.57,
