district,as_on_31st_march_2025_agriculture_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,education_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,housing_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,personal_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,col_26
Bokaro,633,183.29,88,69.92,13.90,38.15,118,2752.10,1,10.55,0.85,0.38,4527,80753.85,51,745.05,1.13,0.92,33963,89195.65,1170,1911,3.44,2.14,
Chatra,231,278.05,17,25.74,7.36,9.26,1,8.27,,,0.00,0.00,214,3466.57,2,,0.93,0.00,5561,17719.12,135,277,2.43,1.56,
Deoghar,76,457.12,44,17.73,57.89,3.88,58,1473.80,2,7.56,3.45,0.51,1955,39550.08,4,44.94,0.20,0.11,14218,32140.58,640,544,4.50,1.69,
Dhanbad,551,571.18,111,91.83,20.15,16.08,137,2620.28,4,56.85,2.92,2.17,7790,98645.66,112,985.83,1.44,1.00,55827,171248.33,2420,3275,4.33,1.91,
Dumka,75,128.24,7,15.00,9.33,11.69,6,129.68,,,0.00,0.00,356,7881.31,2,36.62,0.56,0.46,6484,13953.66,293,342,4.52,2.45,
East Singhbhum,637,616.14,53,75.94,8.32,12.32,1332,31428.54,8,53.74,0.60,0.17,14396,265858.89,181,2891.27,1.26,1.09,69275,159179.77,2704,3304,3.90,2.08,
Garhwa,549,101.70,67,8.17,12.20,8.03,3,91.23,,,0.00,0.00,198,3427.69,1,25.80,0.51,0.75,5908,12737.55,157,194,2.66,1.53,
Giridih,140,310.22,8,5.49,5.71,1.77,22,469.41,1,2.75,4.55,0.59,1047,20496.55,18,142.17,1.72,0.69,16684,31107.36,694,618,4.16,1.99,
Godda,166,237.56,14,23.70,8.43,9.97,4,60.23,,,0.00,0.00,366,6229.38,,,0.00,0.00,5280,11492.84,226,211,4.28,1.84,
Gumla,414,504.94,297,157.82,71.74,31.25,3,60.70,,,0.00,0.00,251,5825.53,3,9.11,1.20,0.16,4410,9936.54,198,119,4.49,1.20,
Hazaribagh,224,277.04,25,20.85,11.16,7.53,57,1156.27,5,16.62,8.77,1.44,2582,45211.23,90,619.35,3.49,1.37,20717,56376.39,1019,1028,4.92,1.82,
Jamtara,3,0.73,,,0.00,0.00,6,140.08,,,0.00,0.00,238,3048.53,1,77.73,0.42,2.55,3495,5662.82,164,244,4.69,4.31,
Khunti,60,30.65,49,19.02,81.67,62.06,6,120.19,,,0.00,0.00,224,5113.87,1,5.46,0.45,0.11,2930,6501.19,94,123,3.21,1.89,
Koderma,32,50.90,2,0.70,6.25,1.37,10,282.12,,,0.00,0.00,398,8139.13,9,90.82,2.26,1.12,6628,13261.96,179,195,2.70,1.47,
Latehar,50,253.91,4,11.36,8.00,4.47,2,32.10,,,0.00,0.00,127,2751.95,4,36.91,3.15,1.34,3364,9672.20,140,187,4.16,1.93,
Lohardaga,41,87.41,1,2.05,2.44,2.35,3,72.24,,,0.00,0.00,236,4864.14,2,114.18,0.85,2.35,2475,6411.86,184,235,7.43,3.66,
Pakur,,,,,0.00,0.00,5,77.33,,,0.00,0.00,351,6142.57,2,4.88,0.57,0.08,2364,4756.00,131,133,5.54,2.81,
Palamu,226,133.79,48,14.80,21.24,11.06,11,221.75,1,1.01,9.09,0.45,599,12354.60,5,44.53,0.83,0.36,12295,25222.83,400,417,3.25,1.65,
Ramgarh,109,288.45,39,18.98,35.78,6.58,31,878.58,,,0.00,0.00,1549,31791.47,13,165.91,0.84,0.52,16525,58062.54,754,1983,4.56,3.42,
Ranchi,332,36997.25,57,1002.23,17.17,2.71,897,17755.34,13,125.43,1.45,0.71,21286,484311.62,197,3183.25,0.93,0.66,88267,257407.18,3255,4545,3.69,1.77,
Sahibganj,174,486.52,16,44.81,9.20,9.21,3,26.56,,,0.00,0.00,276,3943.20,10,,3.62,0.00,5252,10530.81,277,285,5.27,2.71,
Seraikela-Kharsawan,49,48.07,2,0.79,4.08,1.64,63,955.08,,,0.00,0.00,1919,34686.08,16,464.47,0.83,1.34,13818,28570.50,423,397,3.06,1.39,
Simdega,34,138.55,1,3.90,2.94,2.81,4,46.42,,,0.00,0.00,107,1984.01,1,,0.93,0.00,2372,6194.05,138,197,5.82,3.18,
West Singhbhum,124,141.31,10,75.68,8.06,53.56,35,720.57,,,0.00,0.00,917,16437.92,45,298.23,4.91,1.81,11282,27118.48,461,589,4.09,2.17,
