district,tfo_amt_disbursed_in_lacs_amount_in_lacs,term_loan_sanctioned_during_the_quarter_march_2025,cumulative
Bokaro,3.50,0.00,3.50
Chatra,13.80,10.20,32.10
Deoghar,547.11,63.94,611.05
Dhanbad,28.34,0.00,28.34
Dumka,9.00,0.00,9.00
East Singhbhum,483.41,97.35,580.76
Giridih,27.14,3.71,30.85
Godda,37.60,38.10,129.50
Gumla,5.20,0.60,5.80
Hazaribagh,79.80,10.55,89.25
Jamtara,,2.50,2.50
Koderma,7.00,3.50,7.00
Latehar,10.00,0.00,10.00
Lohardaga,141.86,3.74,145.60
Pakur,6.40,0.00,6.40
Palamu,25.00,25.00,25.00
Ramgarh,2.00,2.80,4.80
Ranchi,396.89,0.00,396.89
Seraikela-Kharsawan,1.31,1.33,1.33
Simdega,0.60,0.00,0.60
West Singhbhum,1.00,1.00,1.00
