district,target_no,amt,disbursement_upto_the_end_of_current_quarter_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_msme_no,amt,achv_pct_amt
Bokaro,26068,308377,18008,128241,603,71407,154.00,41125,14,246,18779,241020,78.16
Chatra,4934,29556,3563,19093,40,3171,15.00,816,,,3618,23080,78.09
Deoghar,17263,158608,11674,79478,367,33520,71.00,25069,4,6,12116,138072,87.05
Dhanbad,44938,526699,27905,210377,1257,160680,393.00,64709,10,111,29565,435877,82.76
Dumka,9723,79126,6335,30160,204,18804,38.00,5146,2,170,6579,54281,68.60
East Singhbhum,43605,901783,26639,284379,2840,267668,719.00,167959,6,802,30204,720808,79.93
Garhwa,5656,29858,3593,20536,82,4043,4.00,332,1,20,3680,24931,83.50
Giridih,24837,160097,16877,88113,285,35697,66.00,5913,2,45,17230,129768,81.06
Godda,10010,47371,6738,30874,149,7774,5.00,1068,3,19,6895,39735,83.88
Gumla,3982,29256,2655,17421,91,5740,6.00,250,1,1,2753,23411,80.02
Hazaribagh,21264,176442,15664,104894,454,37670,117.00,14947,3,11,16238,157522,89.28
Jamtara,4725,17535,3186,11395,52,1927,14.00,300,,,3252,13622,77.68
Khunti,3344,19762,2122,11187,51,4912,3.00,254,1,5,2177,16358,82.77
Koderma,11766,65848,7552,44178,157,11579,40.00,2087,1,3,7750,57846,87.85
Latehar,5061,21295,4964,18427,44,3580,5.00,245,1,50,5014,22303,104.73
Lohardaga,3816,25504,2629,15772,83,4306,5.00,773,,,2717,20851,81.75
Pakur,10263,38424,9277,26606,130,7029,33.00,1612,1,0,9441,35247,91.73
Palamu,10371,71501,6792,40627,191,15099,25.00,2084,1,0,7009,57810,80.85
Ramgarh,11125,121257,8118,59326,274,34013,125.00,8753,1,2,8518,102094,84.20
Ranchi,91899,1174466,44711,440048,2606,315357,611.00,194552,18,1560,47946,951517,81.02
Sahibganj,9081,25405,6796,21055,96,3677,20.00,746,1,50,6913,25529,100.49
Seraikela-Kharsawan,20572,196523,8770,54655,598,64728,223.00,40134,7,436,9598,159953,81.39
Simdega,2795,14468,1744,10458,37,1487,3.00,15,1,0,1785,11960,82.67
West Singhbhum,9913,60840,6891,33712,229,18467,48.00,1708,8,51,7176,53939,88.66
