district,no_of_cases_pending_as_on_previous_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_filed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_disposed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_pending_at_the_end_of_the_quarter_no_of_a_cs,amount_in_lacs
Bokaro,325,11672.36,22,1203.51,,,347,12875.87
Chatra,4,118.25,1,24.99,,,39,1168.40
Deoghar,28,4122.94,10,288.07,6,166.00,32,4245.01
Dhanbad,404,14261.71,14,804.24,38,1320.81,381,13745.14
Dumka,7,268.84,,,,,7,268.84
East Singhbhum,855,42121.88,14,654.73,4,996.15,865,42532.37
Garhwa,5,96.15,,,,,5,96.15
Giridih,24,1301.11,1,22.56,,,25,1323.67
Godda,13,291.76,4,113.80,,,16,353.01
Gumla,9,269.53,1,12.35,3,52.21,11,320.71
Hazaribagh,104,3522.83,2,56.32,2,63.59,179,6968.15
Jamtara,1,28.46,1,13.07,,,2,41.53
Khunti,6,405.02,,,,,6,405.02
Koderma,11,145.89,2,153.47,,,54,1381.02
Latehar,,,,,,,,
Lohardaga,34,1194.72,2,46.67,,,36,1241.39
Pakur,9,299.81,,,3,59.61,6,240.20
Palamu,21,457.71,,,,,21,457.71
Ramgarh,40,1299.94,7,1360.35,2,26.89,137,5307.28
Ranchi,1925,124320.60,115,18670.12,30,795.13,1991,140693.25
Sahibganj,15,314.59,,,,,15,314.59
Seraikela-Kharsawan,120,3113.22,16,262.89,9,205.24,127,3170.87
Simdega,1,12.00,,,,,1,12.00
West Singhbhum,86,1474.98,23,751.39,16,178.27,93,2048.10
