district,social_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,renewable_energy_target_no,amt,achv_no,amt,achv_pct_amt,others_target_no,amt,achv_no,amt,total_priority_sector_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,22,19.81,3,5.20,26.25,283,264.53,14,23.45,8.87,27585,15549.38,8324,5497.45,141227,425007.97,80034,311374.96,73.26
Chatra,,,,,,141,158.52,,,0.00,4488,2478.67,1525,973.26,81191,91684.27,47146,62114.13,67.75
Deoghar,75,154.34,2,14.00,9.07,235,235.98,14,26.89,11.39,20623,10343.74,9224,5132.96,174634,300477.59,82907,209103.55,69.59
Dhanbad,86,443.33,5,15.79,3.56,307,268.54,4,5.02,1.87,52343,29591.07,19591,12080.16,192663,690932.65,105064,533766.43,77.25
Dumka,54,21.53,2,1.45,6.73,191,192.67,,,0.00,16186,8107.79,9588,5471.01,130343,159838.46,68252,106062.25,66.36
East Singhbhum,99,545.88,3,0.55,0.10,280,273.65,10,21.04,7.69,56078,30852.07,19138,11982.70,237387,1103966.83,128750,840792.64,76.16
Garhwa,172,81.60,5,65.88,80.74,218,246.43,1,0.97,0.39,11115,5967.50,5319,3328.05,128757,145567.90,53675,81625.47,56.07
Giridih,11,7.00,16,9.65,137.91,293,293.88,2,3.75,1.28,31159,17547.48,11907,7633.19,183787,305119.16,107885,214687.95,70.36
Godda,11,8.07,,,0.00,169,169.64,2,3.21,1.89,8345,5070.92,5854,3730.46,112970,131924.56,59791,88532.70,67.11
Gumla,22,4.31,1,0.15,3.48,160,187.83,,,0.00,6105,3193.31,3434,1497.59,59711,84104.60,30793,52438.65,62.35
Hazaribagh,292,354.93,2,4.19,1.18,275,280.54,4,10.20,3.64,19083,11746.22,7934,5263.82,162263,323743.62,93598,247330.30,76.40
Jamtara,,,,,,108,114.14,1,2.00,1.75,3673,1452.56,2202,937.63,74805,69975.32,39066,41640.18,59.51
Khunti,11,16.15,1,0.12,0.74,106,107.52,,,0.00,4705,2255.23,1152,517.92,46158,52171.49,24307,33969.51,65.11
Koderma,11,4.31,,,0.00,113,115.21,1,2.00,1.74,9635,5524.91,2843,1787.87,69464,119992.30,37921,88655.70,73.88
Latehar,,,1,0.30,,128,136.16,1,1.35,0.99,6391,2954.34,1193,651.74,57932,68844.83,30773,49507.57,71.91
Lohardaga,,,,,,102,108.23,,,0.00,7254,3813.18,2911,1662.42,42807,65631.63,24624,43102.19,65.67
Pakur,97,49.84,7,2.00,4.01,111,114.50,,,0.00,23916,12753.63,13323,7035.88,82528,91227.49,52514,71051.76,77.88
Palamu,22,233.61,15,254.00,108.73,239,270.76,4,8.91,3.29,22576,14617.32,8077,6115.12,199270,244880.34,74914,139338.65,56.90
Ramgarh,43,355.69,3,23.28,6.54,191,181.47,2,7.69,4.24,14232,8555.32,5218,3183.12,77965,177980.26,42734,136322.31,76.59
Ranchi,17667,2683.04,127,280.73,10.46,527,490.69,63,120.06,24.47,47851,38157.20,20091,19658.26,963234,1774001.75,693550,1500873.09,84.60
Sahibganj,,,,,,154,165.50,,,0.00,17181,10244.18,7919,4621.58,97843,101148.64,48000,63464.02,62.74
Simdega,11,3.23,,,0.00,119,138.25,,,0.00,4216,1854.85,1433,668.02,33182,40955.19,18906,27105.74,66.18
West Singhbhum,22,8.61,,,0.00,266,289.83,2,3.63,1.25,17667,9056.56,5385,2965.22,108818,135547.91,57642,96062.72,70.87
