district,pmjjby_pmsby_fi_plan_portal_data_protean_portal_data_no_of_eligible_cases,no_of_enrollments,fresh_enrollment_since_1st_june_of_current_fy,renewal_after_31st_may_2024,no_of_eligible_cases,no_of_enrollments,fresh_enrollment_since_1st_june_of_current_fy,renewal_after_31st_may_2024,apy_enrollments_target_for_fy_2024_25,achv_till_31_03_2025,in_pct,total_subscribers_since_inception
Bokaro,1591476,367145,71110,160758,2050590,810385,112809,565171,17990,21424,119,117677
Chatra,775860,266081,47780,114928,938142,465249,77178,328947,5020,17675,352,77792
Deoghar,1302788,384098,75489,171605,1646872,780311,109950,570114,11120,26891,242,150820
Dhanbad,2315252,443180,81027,191385,2924027,992865,141791,704070,22585,21853,97,134646
Dumka,1123493,363858,67312,173315,1512756,725967,84108,493276,9705,23040,237,112266
Garhwa,1058188,246193,58871,95549,1278726,465859,89975,312525,6880,19172,279,76543
Giridih,1737629,472620,77924,226610,2142189,880156,131303,646929,13750,34209,249,162360
Godda,1088452,330959,70063,139535,1516025,698956,89865,434944,8800,25805,293,125376
Gumla,663544,217763,42535,103266,871571,444818,81102,305464,5690,16496,290,77246
Hazaribagh,1604031,429031,74879,190305,2022933,855520,114553,578036,14700,25075,171,136993
Jamtara,614151,187357,38333,80636,783693,370023,47980,269724,5605,12940,231,68234
Khunti,327024,90718,16426,40134,405168,185955,30761,123389,3230,7899,245,37472
Koderma,595859,151928,29305,67323,738156,322539,47490,233356,5080,9430,186,47627
Latehar,635309,171366,32217,76040,774035,339779,59732,234698,3695,13460,364,58612
Lohardaga,362979,108715,22616,43848,452530,229720,46071,146254,3765,8542,227,39951
Pakur,646249,226561,49497,78148,810980,460723,65244,329975,4820,24514,509,109069
Palamu,1721057,416827,95941,166942,2119270,805044,132022,532813,10915,31054,285,119721
Ramgarh,797883,181096,26959,87382,1005046,428394,51724,276599,8435,7570,90,50774
Ranchi,3312672,634368,92202,295498,4089446,1360283,173821,914195,38895,38687,99,250650
Sahibganj,900644,298082,56047,111357,1147131,565371,71467,421322,6575,24907,379,114505
Seraikela-Kharsawan,733665,175125,31380,75115,927821,381086,47378,251270,8965,12552,140,68261
Simdega,354844,125090,18585,63934,467039,254447,33578,178365,3675,6990,190,35230
West Singhbhum,1051655,298625,48897,135778,1328120,564458,77278,392639,11620,19946,172,98889
