district,outstanding_as_of_march_2024_no,amt,total_disbursment_during_this_current_afy_no,amt,outstanding_at_the_end_of_reporting_quarter_no,amt,npa_at_the_end_of_reporting_quarter_no,amt,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_no",kcc_card_activated_no,col_12
Bokaro,54086,33199,27706,15253,52349,32420,21055,8586,23758,11388,
Chatra,56278,30974,27861,13594,54698,30677,20021,9680,18032,8829,
Deoghar,89161,48872,40621,25223,89296,52107,20908,8375,29168,19555,
Dhanbad,45200,28321,19229,13750,44027,27864,19329,7724,18434,8073,
Dumka,69922,32721,28865,13077,66993,30831,16048,5471,24860,14360,
East Singhbhum,79050,47578,46573,27087,83149,48526,22677,8623,34136,17738,
Garhwa,59669,52067,23439,21172,58397,50613,11970,6155,20066,11939,
Giridih,84984,46203,44910,21281,84741,48058,31640,13688,32926,14502,
Godda,62296,38974,31022,20671,62941,40595,15588,7589,26719,13677,
Gumla,53596,26763,16588,8949,52915,28298,25073,10060,13632,7095,
Hazaribagh,78333,51634,39637,24654,76870,51698,28007,16433,27932,10320,
Jamtara,50636,28709,25484,14780,50515,30367,8882,3224,16924,9655,
Khunti,28021,14811,15160,6230,27821,15588,8631,3653,10693,3940,
Koderma,30751,17503,14507,5859,29282,17040,13968,6992,9398,3752,
Latehar,32132,23663,16577,12076,31471,23999,6231,2699,10811,5962,
Lohardaga,33756,19590,13445,8033,33492,20736,15841,7491,9158,4805,
Pakur,31803,21504,15325,9354,30577,18103,9960,4082,9200,5709,
Palamu,84906,68453,30758,28183,82834,66482,18472,10338,30783,17202,
Ramgarh,27266,17686,14661,6648,26679,17527,9252,3796,9445,4573,
Ranchi,96160,65425,51129,32459,203464,89892,30033,14487,29848,15567,
Sahibganj,42581,30507,19521,13238,42836,29431,11561,6322,13611,7238,
Seraikela-Kharsawan,57669,33360,30567,13467,67167,37003,16831,7958,26028,14255,
Simdega,22654,10116,9969,3556,22349,10876,8368,3475,6581,3595,
West Singhbhum,71346,45450,31918,13986,71100,47951,20806,9406,29445,15572,
