district,during_the_march_2025_quarter_savings_linked_no,amt,credit_linked_no,amt,during_the_fy_2024_25_savings_linked_no,amt,credit_linked_no,amt,outstanding_at_the_quarter_end_no,amt,outstanding_npa_at_the_quarter_end_no,amt,loans_to_jlgs_disbursement_no,amt,outstanding_no,amt,col_18
Bokaro,164,89,285,975,1070,885,2131,6413,13956,35933,375,258,8697,15060,28786,20870,
Chatra,183,97,209,687,511,297,1041,3115,10133,25024,368,211,3924,5925,13318,9083,
Deoghar,160,54,204,346,1211,1164,2503,5900,10062,21995,575,504,4398,8179,20279,11860,
Dhanbad,137,71,360,1078,1379,819,3384,8723,10795,26401,370,200,12903,18871,125644,71387,
Dumka,109,70,413,642,1002,507,2169,5396,10984,25831,264,280,15152,13315,25754,13793,
East Singhbhum,182,74,382,1755,1485,279,2280,8151,14841,43679,419,302,16302,22742,58469,32054,
Garhwa,96,100,179,321,380,198,670,1104,11871,23366,78,56,11900,18973,36140,27426,
Giridih,211,131,340,1186,2206,2261,4123,11930,18046,45676,694,506,26978,48276,77459,60835,
Godda,140,134,221,384,987,912,1588,3896,9660,25748,212,205,9311,18344,23301,20144,
Gumla,82,32,258,890,754,882,1438,4044,7766,21670,485,435,5451,11424,7208,9098,
Hazaribagh,188,140,360,1069,825,449,1859,5661,16277,45514,380,220,12602,21410,42609,28005,
Jamtara,92,39,114,183,585,481,850,1532,6574,14048,206,318,713,248,1303,345,
Khunti,65,47,163,553,431,210,601,1493,5257,13963,120,136,2206,3109,8059,3512,
Koderma,70,46,162,634,357,162,898,3321,7102,22434,196,186,5174,10848,25242,15608,
Latehar,77,83,106,316,344,526,852,1946,7928,20337,163,93,3079,7454,7415,9072,
Lohardaga,83,31,106,356,337,71,614,2099,4892,13875,323,502,2563,3032,4587,2978,
Pakur,214,186,363,701,741,744,1398,3632,7677,20908,241,215,10090,24149,16183,22277,
Palamu,168,72,231,391,736,343,722,1128,16893,35180,326,335,16575,22714,54954,34865,
Ramgarh,128,69,117,474,658,854,741,2403,6703,18117,205,196,8097,14228,21746,16930,
Ranchi,261,91,436,2391,1890,618,2819,13021,19905,58742,852,1316,13893,26545,74335,38470,
Sahibganj,243,87,243,418,1109,512,1141,2311,9467,22443,160,131,7662,16453,17240,17963,
Seraikela-Kharsawan,103,19,259,988,446,76,1095,3998,8985,25427,491,460,2926,4732,12774,7433,
Simdega,87,9,100,277,472,107,687,1691,5549,14060,167,138,2217,1040,3491,1300,
West Singhbhum,80,10,237,700,421,109,1045,2796,11573,36327,205,186,3641,6642,7676,7429,
