district,as_on_31st_march_2025_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_no,amt,pct_of_msme_to_total_advances
Bokaro,44480,176073.01,1361,77596.95,319,52947.91,78,200.49,46238,306818.36,31.94
Chatra,8246,29631.12,124,4073.12,40,324.75,1,1.31,8411,34030.30,21.11
Deoghar,22103,93421.01,664,36159.24,106,18678.38,16,22.48,22889,148281.11,32.05
Dhanbad,64727,272854.44,2635,169090.63,608,68562.05,92,428.64,68062,510935.75,30.57
Dumka,12695,42594.18,371,18062.27,63,5185.69,8,91.00,13137,65933.13,27.35
East Singhbhum,65730,378743.27,5617,267205.94,2092,169704.34,48,825.09,73487,816478.64,32.47
Garhwa,7475,25020.12,147,4361.26,6,841.84,4,36.25,7632,30259.47,16.57
Giridih,34515,103244.59,499,37956.86,123,7445.48,5,44.00,35142,148690.92,28.03
Godda,12237,37644.66,283,7464.97,13,992.68,43,34.92,12576,46137.23,20.64
Gumla,7315,24044.10,164,5477.29,33,351.56,2,0.50,7514,29873.46,20.57
Hazaribagh,34109,165705.05,1124,41460.83,198,16238.07,8,14.87,35439,223418.82,32.32
Jamtara,6322,14482.90,83,2504.04,24,290.36,4,0.17,6433,17277.47,16.21
Khunti,5346,15967.94,116,4348.71,7,475.80,7,8.14,5476,20800.58,19.04
Koderma,16486,60855.11,443,14210.37,67,4075.15,3,10.53,16999,79151.16,35.73
Latehar,6793,20255.33,82,3304.74,7,236.50,2,56.34,6884,23852.91,18.45
Lohardaga,6182,19492.49,174,4903.02,16,150.60,7,17.67,6379,24563.77,22.49
Pakur,14341,32532.03,214,7640.80,36,1097.65,2,3.60,14593,41274.08,26.80
Palamu,14623,50841.14,376,15175.74,41,1804.43,6,12.62,15046,67833.94,18.74
Ramgarh,20109,81803.37,541,35911.32,223,7986.62,7,1.83,20880,125703.14,28.54
Ranchi,100114,563806.41,4985,320540.35,868,185812.88,102,1447.28,106069,1071606.92,22.73
Sahibganj,13330,27924.51,205,4874.20,32,483.74,1,33.65,13568,33316.11,20.42
Seraikela-Kharsawan,23560,73443.21,985,65715.23,337,40683.13,43,382.35,24925,180223.92,35.93
Simdega,4978,14175.50,89,1392.71,4,16.23,3,0.06,5074,15584.50,21.46
West Singhbhum,17046,47544.60,529,20547.18,99,2118.98,43,79.18,17717,70289.94,13.43
