district,number_of_operative_casa,number_of_aadhaar_seeded_casa,pct_of_casa_aadhaar_seeding,number_of_authenticated_casa,pct_casa_authentication,col_7
Bokaro,2464268,1102850,44.75,1849677,75.06,
Chatra,1228799,601504,48.95,992480,80.77,
Deoghar,2184657,1511245,69.18,1529608,70.02,
Dhanbad,3434645,1762195,51.31,2399828,69.87,
Dumka,1610103,1151691,71.53,1071413,66.54,
East Singhbhum,3434550,1633841,47.57,2462123,71.69,
Garhwa,1604130,1257621,78.40,1200864,74.86,
Giridih,2940929,1477699,50.25,2388139,81.20,
Godda,1577084,1152925,73.10,1092576,69.28,
Gumla,1146901,595312,51.91,1027774,89.61,
Hazaribagh,2425135,1303080,53.73,1935876,79.83,
Jamtara,891373,555786,62.35,632539,70.96,
Khunti,587129,345096,58.78,516513,87.97,
Koderma,1017878,454301,44.63,768862,75.54,
Latehar,909397,688466,75.71,681779,74.97,
Lohardaga,617261,282678,45.80,547909,88.76,
Pakur,1066683,717163,67.23,790971,74.15,
Palamu,2590108,2019397,77.97,1872985,72.31,
Ramgarh,1207218,581421,48.16,907037,75.13,
Ranchi,5178033,3079476,59.47,3237667,62.53,
Sahibganj,1455299,1036867,71.25,1066199,73.26,
Seraikela-Kharsawan,1276969,625999,49.02,999366,78.26,
Simdega,695710,333579,47.95,639731,91.95,
West Singhbhum,1775194,1013215,57.08,1418492,79.91,
