district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,17,16.78,92,71.25,53,48
Chatra,17,13.34,30,36.56,24,21
Deoghar,7,2.04,28,10.78,10,10
Dhanbad,10,5.76,137,60.61,86,77
Dumka,9,4.19,49,19.79,18,17
East Singhbhum,15,8.10,109,75.25,36,28
Garhwa,2,1.50,3,4.32,,
Giridih,14,9.27,100,46.43,92,84
Godda,19,8.22,29,17.52,19,19
Gumla,6,8.55,26,14.83,18,12
Hazaribagh,52,50.65,166,114.56,121,104
Jamtara,3,2.88,6,3.28,2,2
Khunti,5,8.06,34,21.26,16,13
Koderma,8,9.19,90,71.84,56,30
Latehar,9,23.59,22,32.40,6,6
Lohardaga,6,8.19,66,67.31,50,45
Pakur,6,9.36,37,20.41,6,4
Palamu,1,1.85,13,9.21,2,2
Ramgarh,13,14.20,82,51.46,75,58
Ranchi,20,8.48,86,50.23,53,50
Sahibganj,51,40.82,80,57.76,58,58
Seraikela-Kharsawan,88,87.36,334,275.05,158,124
Simdega,3,4.14,62,42.23,24,18
West Singhbhum,37,37.76,105,74.89,9,8
