district,export_credit_target_no,amt,achv_no,amt,achv_pct_amt,education_target_no,amt,achv_no,amt,achv_pct_amt,housing_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,78,355.42,,,0.00,1498,2849.65,1511,3044.60,106.84,895,5189.53,591,3172.53,61.13
Chatra,35,156.25,,,0.00,78,175.28,70,135.27,77.17,26,196.80,40,315.57,160.35
Deoghar,64,289.83,,,0.00,469,976.42,474,1015.26,103.98,380,1742.34,228,1216.53,69.82
Dhanbad,72,326.10,3.00,1635.00,501.38,2281,3847.49,2518,4470.77,116.20,3937,16610.11,1742,12515.23,75.35
Dumka,41,187.98,,,0.00,80,182.15,72,158.80,87.18,108,907.05,156,1091.45,120.33
East Singhbhum,78,353.30,,,0.00,2843,7016.58,2754,7031.55,100.21,3140,11780.37,1490,8121.99,68.95
Garhwa,32,142.65,,,0.00,121,240.81,111,197.53,82.03,104,488.48,67,390.25,79.89
Giridih,69,310.38,3.00,2050.00,660.49,381,680.15,358,643.12,94.56,245,1152.25,147,788.56,68.44
Godda,34,151.72,,,0.00,160,278.53,163,271.54,97.49,140,1432.93,180,1771.10,123.60
Gumla,29,129.05,,,0.00,314,525.26,234,377.93,71.95,63,413.95,55,343.53,82.99
Hazaribagh,64,289.83,,,0.00,571,1163.32,587,1266.63,108.88,386,2244.62,266,1350.23,60.15
Jamtara,22,99.73,,,0.00,328,407.98,170,226.80,55.59,22,217.91,46,319.00,146.39
Khunti,21,97.32,,,0.00,69,147.03,63,138.56,94.23,54,361.75,60,336.91,93.13
Koderma,32,147.18,,,0.00,247,421.04,239,400.89,95.21,128,713.50,59,504.32,70.68
Latehar,27,124.52,,,0.00,119,182.84,104,226.75,124.01,45,342.83,47,219.88,64.14
Lohardaga,21,97.32,,,0.00,67,126.30,75,146.23,115.78,87,214.24,35,93.99,43.87
Pakur,25,113.33,,,0.00,89,127.78,54,82.33,64.43,36,286.52,66,167.30,58.39
Palamu,41,183.45,,,0.00,283,552.54,303,617.32,111.72,211,1423.10,187,1094.58,76.92
Ramgarh,50,228.50,,,0.00,390,777.76,380,814.73,104.75,211,1541.01,179,756.04,49.06
Ranchi,113,509.83,,,0.00,4789,11187.52,4450,12339.70,110.30,3810,28149.32,2373,17732.23,62.99
Sahibganj,35,156.25,,,0.00,279,422.38,185,286.26,67.77,70,528.91,207,562.03,106.26
Simdega,20,92.79,,,0.00,39,64.17,44,106.91,166.62,33,100.00,11,51.45,51.46
West Singhbhum,53,244.50,,,0.00,570,1201.92,472,915.68,76.18,152,1522.37,189,1270.80,83.48
