district,other_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_advances_o_s_nos,o_s_amt,total_npa_outstanding_npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,weaker_section_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,col_26
Bokaro,113701,344661.97,12388,8981.23,10.90,2.61,152942,517546.85,13698,11717.73,8.96,2.26,315570,960738.45,62248,60039.46,19.73,6.25,123824,105061.09,40882,16863.56,33.0,16.1,
Chatra,16815,39306.70,1210,619.95,7.20,1.58,22822,60778.71,1364,922.34,5.98,1.52,113365,161180.19,32165,18237.48,28.37,11.31,83307,66554.28,28928,13766.19,34.7,20.7,
Deoghar,50960,125729.90,2656,1754.30,5.21,1.40,67267,199351.49,3346,2368.68,4.97,1.19,223843,462589.68,34611,21131.11,15.46,4.57,133038,90387.82,25880,10417.84,19.5,11.5,
Dhanbad,179793,626468.36,15085,13393.16,8.39,2.14,244098,899553.80,17732,17802.62,7.26,1.98,656711,1671552.58,128024,74628.91,19.49,4.46,342658,159244.37,98807,29468.94,28.8,18.5,
Dumka,30283,73676.63,2490,1067.64,8.22,1.45,37204,95769.53,2792,1460.87,7.50,1.53,161466,241032.12,30485,13755.10,18.88,5.71,111953,72614.40,24094,8347.09,21.5,11.5,
East Singhbhum,291046,981615.81,14453,22206.62,4.97,2.26,376686,1438699.15,17399,28531.65,4.62,1.98,642914,2514752.43,74632,98400.83,11.61,3.91,186535,180875.43,45149,23065.52,24.2,12.8,
Garhwa,21157,47673.52,1584,738.55,7.49,1.55,27815,64031.69,1809,966.79,6.50,1.51,142873,182632.28,36564,14034.84,25.59,7.68,106587,83794.40,32415,10797.15,30.4,12.9,
Giridih,56244,182665.81,5462,2587.34,9.71,1.42,74137,235049.35,6183,3355.60,8.34,1.43,290458,530404.17,82709,37640.15,28.48,7.10,187460,131245.61,70637,24409.36,37.7,18.6,
Godda,25058,71036.02,1366,948.14,5.45,1.33,30874,89056.04,1606,1183.33,5.20,1.33,146950,223520.77,34919,16056.19,23.76,7.18,105444,79499.93,30851,11747.58,29.3,14.8,
Gumla,13555,40466.87,942,603.28,6.95,1.49,18633,56794.58,1440,889.24,7.73,1.57,97049,145231.88,34803,16844.26,35.86,11.60,71119,55713.02,30919,12518.57,43.5,22.5,
Hazaribagh,85384,203133.00,5720,3285.11,6.70,1.62,108964,306153.94,6859,4970.29,6.29,1.62,300702,691280.86,57554,46194.55,19.14,6.68,159468,137923.83,44237,25264.44,27.7,18.3,
Jamtara,13007,33579.63,610,622.66,4.69,1.85,16749,42431.79,775,944.42,4.63,2.23,84623,106567.22,12218,7246.48,14.44,6.80,62568,45348.97,10455,4307.29,16.7,9.5,
Khunti,14010,43859.17,1290,621.28,9.21,1.42,17230,55625.07,1434,768.60,8.32,1.38,64599,109259.13,17531,8598.71,27.14,7.87,43681,32396.98,13167,5624.89,30.1,17.4,
Koderma,27586,63263.00,3484,1428.21,12.63,2.26,34654,84997.11,3674,1715.13,10.60,2.02,118775,221507.70,30254,20225.85,25.47,9.13,68744,55362.05,23033,10712.77,33.5,19.4,
Latehar,13479,45546.59,738,640.97,5.48,1.41,17022,58256.76,886,875.98,5.21,1.50,69293,129291.38,15929,6793.07,22.99,5.25,45510,46581.30,14004,4486.42,30.8,9.6,
Lohardaga,12530,31484.97,941,758.19,7.51,2.41,15285,42920.63,1128,1109.02,7.38,2.58,68899,109220.34,21943,13757.07,31.85,12.60,48760,41493.86,19662,9914.43,40.3,23.9,
Pakur,27307,44765.31,3403,1170.80,12.46,2.62,30027,55741.21,3536,1309.14,11.78,2.35,112187,154005.45,26456,9722.77,23.58,6.31,73535,60563.84,22304,7285.66,30.3,12.0,
Palamu,50291,118323.08,4147,2586.12,8.25,2.19,63422,156256.04,4601,3062.98,7.25,1.96,243586,361946.18,53559,27654.21,21.99,7.64,165809,126899.69,45463,18524.82,27.4,14.6,
Ramgarh,47497,162291.66,3564,4834.95,7.50,2.98,65711,253312.71,4370,7002.90,6.65,2.76,152208,440368.99,33332,28197.89,21.90,6.40,69877,59102.27,23871,10847.87,34.2,18.4,
Ranchi,384901,1995669.70,20342,60549.74,5.28,3.03,495683,2792141.08,23864,69405.35,4.81,2.49,1720135,4714209.66,101395,205975.98,5.89,4.37,1085841,469088.61,60860,29712.49,5.6,6.3,
Sahibganj,21390,49393.88,1836,1159.52,8.58,2.35,27095,64380.97,2139,1489.35,7.89,2.31,120581,163189.04,34297,15124.50,28.44,9.27,84672,66497.06,30107,10622.87,35.6,16.0,
Seraikela-Kharsawan,39384,143465.99,3944,2871.84,10.01,2.00,55233,207725.73,4385,3734.50,7.94,1.80,251913,501551.55,31207,24435.40,12.39,4.87,177018,94937.98,23872,11668.44,13.5,12.3,
Simdega,8773,19700.43,1023,436.65,11.66,2.22,11290,28063.46,1163,637.62,10.30,2.27,50963,72621.29,13351,7506.83,26.20,10.34,35531,30014.34,10784,4916.29,30.4,16.4,
West Singhbhum,35940,310645.86,2854,2823.94,7.94,0.91,48298,355064.14,3370,3787.14,6.98,1.07,167443,523389.57,36484,27281.51,21.79,5.21,104762,92721.15,29555,14722.53,28.2,15.9,
