district,rural_no_of_br,deposit,as_on_31st_march_2025_advances,cd_ratio,semi_urban_no_of_br,deposit,advances,cd_ratio,urban_no_of_br,deposit,advances,cd_ratio,total_no_of_br,[amount_in_lakh]_deposit,core_advances,cd_ratio,total_place_of_utili_zation,annexure_1b,total_advances,cd_ratio_incl_pou,col_22
Bokaro,78,463559,137866,29.74,54,530045,161615,30.49,91,1507741,661257,43.86,223,2501345,960738,38.41,516938,,1477676,59.08,
Chatra,46,232710,84521,36.32,23,281305,71488,25.41,0,1313,5171,393.86,69,515328,161180,31.28,46,,161226,31.29,
Deoghar,71,301225,112371,37.30,26,118298,48004,40.58,48,727976,302215,41.51,145,1147500,462590,40.31,-1102,,461488,40.22,
Dhanbad,76,541797,131383,24.25,58,453571,205127,45.22,182,3333117,1335043,40.05,316,4328485,1671553,38.62,156472,,1828025,42.23,
Dumka,86,301896,100037,33.14,37,363115,137292,37.81,1,6535,3703,56.66,124,671546,241032,35.89,-6,,241026,35.89,
East Singhbhum,82,345388,157434,45.58,72,528549,208791,39.50,198,3574332,2148528,60.11,352,4448269,2514752,56.53,648559,,3163311,71.11,
Garhwa,67,187775,80298,42.76,34,234351,100105,42.72,0,2035,2230,109.59,101,424160,182632,43.06,132,,182765,43.09,
Giridih,135,705961,221694,31.40,9,62461,14955,23.94,39,406190,293756,72.32,183,1174612,530404,45.16,5916,,536320,45.66,
Godda,73,311993,116825,37.44,30,320330,104161,32.52,0,1876,2534,135.10,103,634199,223521,35.24,179156,,402676,63.49,
Gumla,53,183011,55486,30.32,31,259293,86142,33.22,3,3176,3604,113.46,87,445480,145232,32.60,20,,145251,32.61,
Hazaribagh,96,473959,177404,37.43,30,195339,106143,54.34,56,861338,407734,47.34,182,1530636,691281,45.16,1504,,692785,45.26,
Jamtara,40,154049,50253,32.62,29,194541,54840,28.19,0,,1473,,69,348590,106567,30.57,2,,106569,30.57,
Khunti,30,120375,48834,40.57,22,139651,57248,40.99,0,4757,3177,66.78,52,264784,109259,41.26,42,,109301,41.28,
Koderma,33,176560,61955,35.09,34,324362,149819,46.19,0,3166,9733,307.48,67,504087,221508,43.94,19296,,240804,47.77,
Latehar,27,132327,54708,41.34,29,173970,71450,41.07,0,,3133,,56,306297,129291,42.21,2,,129293,42.21,
Lohardaga,24,78017,40474,51.88,22,161868,66540,41.11,0,2348,2207,93.98,46,242232,109220,45.09,500,,109720,45.30,
Pakur,38,127207,61739,48.53,23,192677,89655,46.53,1,,2612,,62,319885,154005,48.14,8,,154013,48.15,
Palamu,84,342242,138532,40.48,57,627574,215930,34.41,0,,7484,,141,969816,361946,37.32,24292,,386238,39.83,
Ramgarh,47,258336,95773,37.07,70,780600,326637,41.84,1,497,17959,3614.74,118,1039433,440369,42.37,44968,,485337,46.69,
Ranchi,155,735050,535742,72.89,48,370788,148701,40.10,320,8826321,4029767,45.66,523,9932160,4714210,47.46,138113,,4852323,48.85,
Sahibganj,41,142615,57757,40.50,36,279055,102867,36.86,0,,2565,,77,421669,163189,38.70,177,,163366,38.74,
Seraikela-Kharsawan,82,351741,194432,55.28,19,103898,41492,39.94,27,287355,265628,92.44,128,742994,501552,67.50,52147,,553699,74.52,
Simdega,31,109814,30606,27.87,22,124128,40115,32.32,0,,1901,,53,233942,72621,31.04,102,,72723,31.09,
West Singhbhum,73,244846,98331,40.16,64,3527394,378169,10.72,0,107539,46889,43.60,137,3879779,523390,13.49,400052,,923442,23.80,
