district,sponsering_bank,target_fy_2024_25_number_of_training_programmes_to_be_conducted,number_of_trainees_to_be_trained,performance_during_the_financial_year_2024_25_up_to_the_end_of_mar_2025_number_o,pct_of_achievement_to_target_for_no_of_training_programmes_conducted,number_of_trainees_trained,pct_of_achievement_to_target_for_no_of_trainees_trained,col_9
Bokaro,BANK OF INDIA,45,1130,38,84.44,1138,100.71,
Chatra,BANK OF INDIA,45,1120,36,80.00,1128,100.71,
Deoghar,STATE BANK OF INDIA,46,1150,36,78.26,1161,100.96,
Dhanbad,BANK OF INDIA,45,1130,40,88.89,1138,100.71,
Dumka,INDIAN BANK,45,1120,37,82.22,1138,101.61,
East Singhbhum,BANK OF INDIA,46,1150,36,78.26,1040,90.43,
Garhwa,STATE BANK OF INDIA,42,1120,36,85.71,1131,100.98,
Giridih,BANK OF INDIA,44,1150,37,84.09,1023,88.96,
Godda,INDIAN BANK,42,1050,35,83.33,1065,101.43,
Gumla,BANK OF INDIA,46,1150,37,80.43,1001,87.04,
Hazaribagh,INDIAN BANK,45,1120,35,77.78,1028,91.79,
Jamtara,STATE BANK OF INDIA,42,1050,36,85.71,1060,100.95,
Khunti,BANK OF INDIA,46,1150,34,73.91,939,81.65,
Koderma,BANK OF INDIA,44,1100,40,90.91,1114,101.27,
Latehar,STATE BANK OF INDIA,42,1050,37,88.10,1086,103.43,
Lohardaga,BANK OF INDIA,46,1150,36,78.26,961,83.57,
Pakur,STATE BANK OF INDIA,42,1050,40,95.24,1114,106.10,
Palamu,STATE BANK OF INDIA,45,1120,39,86.67,1141,101.88,
Ramgarh,BANK OF INDIA,35,880,28,80.00,883,100.34,
Ranchi,RUDSETICANARA BANK,40,1150,34,85.00,962,83.65,
Sahibganj,STATE BANK OF INDIA,42,1050,43,102.38,1135,108.10,
Simdega,BANK OF INDIA,46,1150,36,78.26,930,80.87,
West Singhbhum,BANK OF INDIA,46,1150,36,78.26,1160,100.87,
