district,as_on_31st_march_2025_export_credit_no,amt,education_no,amt,housing_no,amt,social_infra_no,amt,renewable_energy_no,amt,others_priority_sector_no,amt,priority_sector_no,amt,pct_of_priority_sec_loans_to_total_advances
Bokaro,,,3442,12886.61,3165,29643.21,4,5.56,14,20.25,19651,7086.87,162628,442896.18,46.10
Chatra,,,244,762.99,165,1395.23,1,0.47,,,3391,1125.98,90543,100401.48,62.29
Deoghar,,,1150,4421.18,1597,11068.04,,,17,21.72,12756,4471.41,156576,262400.33,56.72
Dhanbad,1,1972.00,5538,19102.93,10002,88087.08,3,0.87,3,1.86,63050,20735.73,412613,772524.66,46.22
Dumka,,,250,842.31,753,6043.58,3,1.34,33,28.57,15044,5475.79,124262,145262.59,60.27
East Singhbhum,,,7825,36016.85,9553,74120.04,72,43.38,10,19.25,44499,17257.76,266228,1076093.32,42.79
Garhwa,,,285,942.97,278,2420.53,14,79.63,9,3.47,7339,2677.48,115058,118474.72,64.87
Giridih,25,5482.00,1061,3373.73,886,7031.33,17,8.23,2,3.49,22168,8017.94,216321,294891.21,55.60
Godda,,,411,1358.06,1054,10230.52,1,0.11,37,6.65,8427,3400.41,116076,134464.73,60.16
Gumla,,,451,1156.81,270,2451.25,2,0.12,1,8.54,4362,1522.11,78416,88437.30,60.89
Hazaribagh,,,1498,5514.24,2097,17263.75,15,7.94,3,8.97,17763,7100.64,191738,385389.55,55.75
Jamtara,,,468,722.28,331,2255.14,,,16,4.94,2652,728.83,67874,64135.43,60.18
Khunti,,,175,576.54,227,2113.41,3,6.80,,,1480,419.20,47369,53634.06,49.09
Koderma,,,577,1949.43,558,4089.73,1,0.22,1,2.03,7608,2476.96,84121,136351.04,61.56
Latehar,,,212,576.39,185,1920.18,1,0.19,4,1.98,3520,877.77,52271,71034.63,54.94
Lohardaga,,,227,792.88,251,1951.39,1,0.41,1,,4498,1555.07,53614,66299.72,60.70
Pakur,,,113,308.09,380,3276.91,11,2.51,,,15842,5592.36,82160,98264.45,63.81
Palamu,,,805,2671.76,765,6384.46,18,262.07,6,7.13,14316,5941.01,180164,205615.60,56.81
Ramgarh,,,1091,3818.40,865,8200.71,6,22.67,3,7.72,10415,3649.32,86497,187056.28,42.48
Ranchi,6,39244.00,11893,56074.35,11994,140078.42,230,38.95,64,110.08,57779,22562.08,1224452,1921001.37,40.75
Sahibganj,,,580,1294.11,560,4216.52,,,40,30.16,11543,4264.10,93486,98808.06,60.55
Seraikela-Kharsawan,,,2204,6456.08,1497,10666.93,,,4,121.29,11378,4198.35,196680,293795.24,58.58
Simdega,,,147,378.60,120,1009.50,1,0.23,,,2468,768.07,39673,44557.83,61.36
West Singhbhum,,,1511,6066.71,885,8146.71,2,0.26,2,3.53,10021,2975.08,119145,168325.43,32.16
