district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,38,31.92,941,579.65,878,691
Chatra,69,25.08,383,151.22,300,190
Deoghar,69,103.38,474,240.17,254,230
Dhanbad,631,720.01,5523,4237.57,5197,2946
Dumka,24,13.63,222,105.31,197,189
East Singhbhum,49,31.86,831,470.56,718,500
Garhwa,25,39.09,133,90.88,95,67
Giridih,156,153.42,607,403.10,529,342
Godda,83,50.85,613,193.43,475,463
Gumla,58,64.01,1022,467.43,942,740
Hazaribagh,156,102.05,1350,1024.64,1038,814
Jamtara,14,9.88,105,40.85,67,56
Khunti,72,49.82,640,195.92,495,391
Koderma,323,180.16,1061,401.92,1026,449
Latehar,50,21.12,303,110.05,100,85
Lohardaga,102,82.52,1472,638.71,1353,1167
Pakur,78,16.99,225,128.62,82,61
Palamu,59,92.42,248,208.35,120,101
Ramgarh,55,71.10,1526,670.12,1358,1176
Ranchi,578,152.00,2920,1608.34,2197,2123
Sahibganj,236,176.19,429,266.26,328,312
Seraikela-Kharsawan,73,57.38,370,169.67,354,320
Simdega,17,13.81,826,146.75,772,670
West Singhbhum,49,74.50,425,242.26,334,334
