district,outstanding_31032025_scheduled_caste_no,amt,scheduled_tribes_no,amt,disbursed_form_01042024_to_31032025_scheduled_caste_no,amt,scheduled_tribes_no,amt,col_10
Bokaro,16457,32267.80,16862,32583.86,3496,10453.27,3359,7833.51,
Chatra,14739,15655.60,8029,10787.73,2762,3780.94,2551,2713.71,
Deoghar,16710,18219.28,14512,15065.06,4593,7261.97,5253,5466.61,
Dhanbad,57337,76028.83,32105,32915.40,7010,27666.14,3768,8677.06,
Dumka,14044,13990.59,23086,32293.84,3823,4659.07,9082,14842.57,
East Singhbhum,19694,32494.00,57367,90807.71,3808,9451.09,11149,22290.22,
Garhwa,22278,19330.06,15013,15054.08,3172,4945.76,5635,4550.30,
Giridih,25566,21425.74,17356,20458.44,3247,5150.03,3560,4662.71,
Godda,11775,13110.70,18087,25454.89,2744,4824.67,7428,11514.69,
Gumla,6626,6898.13,32681,36378.90,838,1659.97,5829,9788.13,
Hazaribagh,26843,29361.93,14963,26925.48,4579,8718.84,3762,7667.62,
Jamtara,7317,7813.69,13768,13891.97,1751,2451.03,5764,5054.17,
Khunti,5870,5935.08,23047,27010.19,1473,1981.81,5087,8166.03,
Koderma,9338,10172.96,4842,8237.74,1732,2593.23,1017,1310.05,
Latehar,7992,11504.87,11161,15719.09,2473,4443.93,4137,5902.72,
Lohardaga,3651,4524.34,18881,23127.21,598,1213.96,3589,5987.03,
Pakur,5195,6080.41,16325,18077.01,1626,2137.91,7922,7887.63,
Palamu,36303,33824.74,22348,24790.17,4723,8675.45,8544,7313.92,
Ramgarh,10922,17915.02,14982,32468.29,3034,6009.29,3352,8315.22,
Ranchi,225592,111456.24,200015,203633.40,36083,34078.34,37460,63609.16,
Sahibganj,6606,8178.09,21693,21059.75,1842,2833.79,9659,9824.22,
Seraikela-Kharsawan,25826,16184.72,49836,42722.75,4540,4210.81,9388,10698.45,
Simdega,5070,4935.54,17186,17639.22,881,1075.48,2781,3989.44,
West Singhbhum,11654,15834.88,57301,70421.48,2394,4340.00,11822,18806.09,
