district,number_of_pmjdy_accounts_rural,urban,male,female,total,zero_balance_a_c,pct_of_zero_bal_a_c,deposits_held_in_the_a_c_in_lakh,overdraft_under_pmjdy_no_of_acc,o_s,rupay_card_issued,rupay_card_pct,rupay_card_activated,aadhaar_seeded,aadhaar_seeding_pct,col_17
Bokaro,614191,274250,393184,495257,888441,63769,7.18,48017.38,2181,2.02,672732,75.72,276700,794224,89.40,
Chatra,694887,22092,340674,376305,716979,44502,6.21,42982.01,214,1.27,482114,67.24,159617,634599,88.51,
Deoghar,895454,264682,541798,618338,1160136,78747,6.79,64468.09,653,3.95,774364,66.75,192131,1006778,86.78,
Dhanbad,874508,387638,545462,716684,1262146,76074,6.03,59112.36,3855,3.05,972760,77.07,399614,1149629,91.09,
Dumka,826988,67106,424753,469341,894094,66495,7.44,47818.10,835,0.89,563638,63.04,102054,757818,84.76,
East Singhbhum,562452,339219,407188,494483,901671,61440,6.81,47651.38,1619,5.73,708904,78.62,296340,809182,89.74,
Garhwa,839721,117330,475885,481166,957051,83157,8.69,45131.56,196,0.09,599373,62.63,191962,811566,84.80,
Giridih,1361423,143677,671542,833558,1505100,99908,6.64,88950.23,745,1.50,1032339,68.59,445963,1360409,90.39,
Godda,833295,58215,409244,482266,891510,71709,8.04,39166.95,728,0.34,570210,63.96,162958,749815,84.11,
Gumla,546662,77706,287957,336411,624368,51066,8.18,43283.32,177,2.33,407992,65.34,180700,559210,89.56,
Hazaribagh,827527,193726,466489,554764,1021253,81558,7.99,58934.46,1456,1.66,697357,68.28,275283,915950,89.69,
Jamtara,485983,33059,245301,273741,519042,33541,6.46,25511.68,552,0.51,327410,63.08,77522,459563,88.54,
Khunti,241533,12662,119298,134897,254195,22396,8.81,15871.95,728,1.10,132870,52.27,76700,232616,91.51,
Koderma,371598,43025,178057,236566,414623,24417,5.89,25980.12,239,1.96,326044,78.64,147166,382762,92.32,
Latehar,581081,48448,300380,329149,629529,51251,8.14,31985.21,243,2.29,396842,63.04,99411,543533,86.34,
Lohardaga,300710,17058,144168,173600,317768,33031,10.39,18857.36,248,0.13,198551,62.48,101055,299088,94.12,
Pakur,677360,62430,345678,394112,739790,54290,7.34,25235.69,278,0.32,496070,67.06,108999,657296,88.85,
Palamu,1146152,275018,700769,720401,1421170,130880,9.21,68369.09,170,0.74,990354,69.69,243400,1209702,85.12,
Ramgarh,317331,34230,157534,194027,351561,27016,7.68,23340.09,1684,2.52,259222,73.73,118828,329978,93.86,
Ranchi,1087808,434997,705920,816884,1522804,126719,8.32,85695.91,9057,13.92,926271,60.83,332860,1291071,84.78,
Sahibganj,746545,248999,475941,519603,995544,68617,6.89,36598.36,590,0.41,652430,65.54,112555,863304,86.72,
Simdega,349144,13515,163216,199443,362659,19869,5.48,25904.67,835,0.10,268189,73.95,148833,339428,93.59,
West Singhbhum,699687,124646,383044,441289,824333,50809,6.16,48830.04,5416,4.13,586175,71.11,218683,744831,90.36,
