district,pmegp_outstanding_no,amt,npa_no,amt,npa_pct,mudra_loans_outstanding_no,amt,npa_no,amt,npa_pct,stand_up_india_outstanding_no,amt,npa_no,amt,npa_pct,shg_nrlm_nulm_outstanding_no,amt,npa_no,amt,npa_pct
Bokaro,999,3396.14,386,1028.04,30.27,119265,82845.13,26529,13332.15,16.09,192,3196.24,63,848.28,26.54,13956,35932.95,375,258.12,0.72
Chatra,543,1399.68,208,414.19,29.59,41074,32860.06,8056,3956.12,12.04,64,666.85,13,140.58,21.08,10133,25023.95,368,211.46,0.85
Deoghar,1041,3063.97,390,637.83,20.82,49610,40669.74,6370,4624.47,11.37,162,2055.11,18,253.59,12.34,10062,21994.91,575,504.12,2.29
Dhanbad,1505,4140.64,599,1428.66,34.50,204208,118707.68,36483,15425.03,12.99,323,4598.26,77,691.22,15.03,10795,26401.47,370,199.67,0.76
Dumka,1261,2485.73,415,615.75,24.77,57664,29461.71,9657,3712.41,12.60,85,1218.30,4,8.90,0.73,10984,25831.45,264,279.54,1.08
East Singhbhum,1412,5357.49,407,979.38,18.28,168367,127919.60,25284,16174.23,12.64,396,4723.47,89,996.59,21.10,14841,43679.00,419,301.90,0.69
Garhwa,388,1096.19,79,133.18,12.15,78349,35759.38,18136,4545.93,12.71,37,366.97,3,3.03,0.83,11871,23366.43,78,56.03,0.24
Giridih,1141,3339.70,336,640.38,19.17,244724,119456.53,39191,13390.61,11.21,115,1697.96,16,88.12,5.19,18046,45675.73,694,506.18,1.11
Godda,1054,2597.24,267,454.09,17.48,82392,42074.84,16021,5645.10,13.42,73,1136.89,11,95.40,8.39,9660,25748.38,212,205.32,0.80
Gumla,834,2270.27,230,517.20,22.78,47634,30519.08,5378,2820.58,9.24,44,499.77,8,58.29,11.66,7766,21669.88,485,435.06,2.01
Hazaribagh,1396,4436.91,501,1265.77,28.53,123731,88773.63,19228,11492.85,12.95,188,2132.33,55,322.73,15.14,16277,45514.12,380,220.14,0.48
Jamtara,587,1084.09,150,166.10,15.32,12126,11258.29,1839,1302.78,11.57,22,299.11,,0.02,0.01,6574,14048.27,206,317.58,2.26
Khunti,507,1064.40,144,229.11,21.53,18360,13286.56,2155,1456.76,10.96,24,285.94,1,0.01,0.00,5257,13962.83,120,135.50,0.97
Koderma,683,1664.72,243,515.57,30.97,70411,49713.66,11527,5350.58,10.76,82,753.75,26,158.57,21.04,7102,22433.77,196,186.00,0.83
Latehar,336,630.49,76,99.33,15.76,34291,18191.00,7655,2169.26,11.92,105,1380.62,1,0.01,0.00,7928,20337.07,163,92.79,0.46
Lohardaga,732,1457.10,254,357.64,24.54,22537,21431.91,3295,2609.68,12.18,33,307.37,4,18.11,5.89,4892,13875.07,323,501.79,3.62
Pakur,788,1633.31,236,427.35,26.16,108386,42395.73,12691,3526.55,8.32,42,807.40,3,13.87,1.72,7677,20908.00,241,215.34,1.03
Palamu,469,1345.13,172,311.40,23.15,113874,56665.48,24352,9137.03,16.12,111,1178.70,6,52.06,4.42,16893,35180.39,326,334.56,0.95
Ramgarh,621,2168.82,185,504.71,23.27,79051,52321.48,14412,6852.38,13.10,118,1035.61,25,197.01,19.02,6703,18116.62,205,196.39,1.08
Ranchi,1784,6267.48,744,1884.13,30.06,209024,174766.85,34629,25774.54,14.75,737,10848.27,164,1975.85,18.21,19905,58741.86,852,1316.18,2.24
Sahibganj,832,1947.05,229,420.08,21.58,86450,38787.01,18657,5243.58,13.52,42,537.71,2,0.70,0.13,9467,22443.17,160,130.68,0.58
Simdega,494,1102.22,167,282.92,25.67,12716,13388.71,1297,1369.94,10.23,26,232.12,5,29.56,12.73,5549,14059.74,167,137.61,0.98
West Singhbhum,674,1905.69,221,466.11,24.46,57244,45692.11,9036,4987.32,10.92,54,1493.79,7,29.57,1.98,11573,36327.46,205,185.88,0.51
