district,agri_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,anicillary_activities_includes_all_ancillary_activites_under_agriculture_sector,amt,achv_no,amt,achv_pct_amt,total_agriculture_farm_credit+agri_infr+anci_acti_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,95,328,16,71.91,21.95,9619,24861,5647,18128.27,72.92,84798,92403,50812,58611.89,63.43
Chatra,156,121,1,1.14,0.94,7234,12845,4273,9716.56,75.64,71489,58963,41893,37610.12,63.79
Deoghar,89,1438,18,359.29,24.99,2347,32756,753,13213.86,40.34,135525,128127,60849,63625.91,49.66
Dhanbad,230,765,43,810.96,106.03,7667,32484,4869,23655.93,72.82,88699,113147,51636,67167.58,59.36
Dumka,141,138,3,9.00,6.53,1372,4629,370,3477.08,75.12,103960,71113,51855,45058.93,63.36
East Singhbhum,89,651,27,754.65,115.94,13278,43222,8491,31710.59,73.37,131264,151362,75151,92826.73,61.33
Garhwa,114,84,3,21.72,26.00,737,1635,332,1195.61,73.10,111339,108542,44492,52711.68,48.56
Giridih,202,229,14,20.83,9.08,9643,36048,5538,20375.61,56.52,126792,125031,78222,73791.84,59.02
Godda,18,23,42,64.10,276.80,2275,5589,722,1996.53,35.72,94101,77442,46697,43021.60,55.55
Gumla,25,42,1,2.46,5.79,4393,11558,3097,9220.12,79.77,49036,50395,24316,26807.99,53.20
Hazaribagh,145,280,22,83.73,29.93,9040,34415,5051,22621.15,65.73,120328,131223,68567,81913.00,62.42
Jamtara,28,25,3,4.64,18.61,2316,4078,716,1789.03,43.87,65927,50148,33395,26533.07,52.91
Khunti,17,33,2,1.98,5.92,2391,5496,1378,3707.92,67.47,37848,29424,20854,16618.23,56.48
Koderma,15,27,6,22.23,83.01,6461,17337,3468,11583.94,66.82,47532,47218,27029,28114.71,59.54
Latehar,387,153,1,0.25,0.16,1682,3207,440,1122.45,35.00,46161,43810,24413,26104.98,59.59
Lohardaga,44,44,1,37.00,83.50,3611,11199,2476,8446.47,75.42,31460,35768,18886,20348.59,56.89
Pakur,356,304,9,124.22,40.92,3255,4016,1485,2530.88,63.02,47991,39358,29623,28517.14,72.46
Palamu,1484,838,15,62.01,7.40,3109,5877,699,3291.41,56.01,165527,156099,59319,73439.13,47.05
Ramgarh,48,121,13,98.46,81.67,5223,12325,3190,10025.91,81.35,51723,45084,28434,29443.78,65.31
Ranchi,364,3998,99,1553.59,38.86,9976,113952,6233,95692.84,83.98,796578,518358,618500,499224.63,96.31
Sahibganj,45,158,2,6.61,4.18,1933,3089,842,1620.67,52.47,71043,64227,32776,32465.18,50.55
Simdega,9,21,2,1.91,8.91,3086,6222,2218,4925.86,79.17,25949,24233,15633,14318.90,59.09
West Singhbhum,31,41,4,5.22,12.73,4535,8757,3078,7680.00,87.70,80175,62384,44418,36968.71,59.26
