district,notices_issued_u_s_13_2_of_sarfaesi_act_ac,amt_in_lacs,out_of_which_symbolic_possession_taken_u_s_13_4_ac,amt_in_lacs,request_sent_to_dc_dm_cmm_for_assistance_in_physical_possession_ac,out_of_that_physical_possession_taken_ac,no_of_cases_pending_ac
Bokaro,987,11761.77,118,6920.34,94,33,74
Chatra,19,223.70,13,173.63,6,,6
Deoghar,30,1475.80,11,973.42,11,2,15
Dhanbad,190,7047.95,117,4866.83,74,18,80
Dumka,8,470.33,6,373.06,3,,3
East Singhbhum,279,17304.49,230,15421.11,106,9,111
Garhwa,15,177.70,12,154.49,6,,8
Giridih,747,3491.32,33,668.34,10,2,9
Godda,4,94.21,4,74.21,3,1,3
Gumla,22,269.38,12,146.93,8,1,7
Hazaribagh,181,3057.54,125,2237.04,68,2,79
Jamtara,3,190.30,2,17.77,,,
Khunti,7,112.90,3,71.00,3,,3
Koderma,56,869.75,41,686.41,23,2,26
Latehar,16,186.59,7,94.70,6,,2
Lohardaga,31,349.64,13,211.22,10,,10
Pakur,10,137.04,10,127.04,3,,3
Palamu,30,647.82,16,327.25,6,1,6
Ramgarh,57,2566.70,43,2105.00,21,,31
Ranchi,396,32129.74,290,27826.26,131,15,127
Sahibganj,6,95.16,6,85.16,1,,1
Simdega,9,49.26,3,40.26,1,,3
West Singhbhum,23,739.59,15,605.51,5,1,8
