district,credit_sanctioned_outside_jharkhand_and_utilised_inside_jharkhand_outstanding_as,amt,outstanding_as_on_31032025_no_of_a_cs,amt,credit_sanctioned_inside_jharkhand_and_utilised_outside_jharkhand_outstanding_as,amt,outstanding_as_on_31032025_no_of_a_cs,amt
Bokaro,92,₹ 534237.88,74,₹ 518186.01,,₹ -,14,₹ 1248.26
Chatra,11,₹ 30.96,12,₹ 71.23,,₹ -,2,₹ 25.31
Deoghar,22,₹ 398.63,25,₹ 516.07,,₹ -,100,₹ 1617.72
Dhanbad,101,₹ 88729.26,98,₹ 158930.98,,₹ -,23,₹ 2458.82
Dumka,1,₹ 0.23,2,₹ 24.52,,₹ -,3,₹ 30.94
East Singhbhum,91,₹ 322016.35,125,₹ 651142.05,1,₹ 1028.00,22,₹ 2583.27
Garhwa,7,₹ 27208.77,11,₹ 132.38,,₹ -,,₹ -
Giridih,14,₹ 343.31,31,₹ 6028.38,,₹ -,2,₹ 112.30
Godda,4,₹ 12.40,18,₹ 179165.53,,₹ -,2,₹ 10.01
Gumla,5,₹ 21.40,5,₹ 19.50,,₹ -,,₹ -
Hazaribagh,12,₹ 1598.35,22,₹ 3739.41,,₹ -,8,₹ 2235.15
Jamtara,1,₹ 2.03,1,₹ 1.72,,₹ -,,₹ -
Khunti,22,₹ 42.11,22,₹ 41.61,,₹ -,,₹ -
Koderma,7,₹ 69.82,10,₹ 19296.15,,₹ -,1,₹ 0.08
Latehar,1,₹ 2.24,1,₹ 1.87,,₹ -,,₹ -
Lohardaga,,₹ -,1,₹ 500.00,,₹ -,,₹ -
Pakur,3,₹ 11.43,3,₹ 10.11,,₹ -,1,₹ 2.08
Palamu,37,₹ 19830.71,49,₹ 24326.41,,₹ -,4,₹ 34.32
Ramgarh,102,₹ 45786.60,67,₹ 45018.35,,₹ -,3,₹ 50.76
Ranchi,229,₹ 85735.45,215,₹ 170248.69,6,₹ 23140.88,39,₹ 32135.20
Sahibganj,4,₹ 29.37,16,₹ 176.94,,₹ -,,₹ -
Seraikela-Kharsawan,9,₹ 47476.52,18,₹ 52147.37,,₹ -,,₹ -
Simdega,3,₹ 31.67,7,₹ 116.80,,₹ -,1,₹ 15.03
West Singhbhum,8,₹ 17.22,8,₹ 400053.48,,₹ -,1,₹ 1.03
