district,as_on_31st_march_2025_farm_credit_no,amt,out_of_farm_credit_total_crop_loans_no,amt,out_of_farm_credit_total_investment_credit_no,amt,out_of_farm_credit_total_allied_activities_no,amt,agri_infrastructure_no,amt,ancillary_activities_no,amt,total_agri_no,amt,pct_of_agri_adv_to_total_advance
Bokaro,83085,63606.79,52349,32419.56,30736,31187.23,18695,15583.32,36,85.68,6993,22742.84,90114,86435.31,9.00
Chatra,73792,50470.63,54698,30676.63,19094,19794.00,12668,11183.71,2,1.73,4537,12614.16,78331,63086.52,39.14
Deoghar,117105,78927.42,89296,52107.02,27809,26820.41,15966,16660.39,65,824.66,997,14384.79,118167,94136.87,20.35
Dhanbad,259603,100653.53,44027,27864.13,215576,72789.40,86180,31151.39,74,1676.98,6277,29357.95,265954,131688.46,7.88
Dumka,94384,62089.95,66993,30830.64,27391,31259.32,18057,20626.49,14,80.85,644,4767.09,95042,66937.89,27.77
East Singhbhum,121183,88748.00,83149,48526.19,38034,40221.81,23875,24160.04,47,829.08,9552,42580.33,130782,132157.40,5.26
Garhwa,98822,80513.23,58397,50612.80,40425,29900.43,23068,23885.69,200,75.30,479,1502.65,99501,82091.18,44.95
Giridih,150056,94843.33,84741,48058.23,65315,46785.10,41292,26807.99,54,141.94,6910,27298.30,157020,122283.57,23.05
Godda,92522,69756.43,62941,40595.01,29581,29161.42,21067,15980.64,41,83.73,1007,3491.58,93570,73331.74,32.81
Gumla,61789,41255.63,52915,28298.02,8874,12957.61,4630,9190.91,3,3.88,4024,12165.50,65816,53425.02,36.79
Hazaribagh,129293,98577.54,76870,51697.61,52423,46879.93,31485,26167.26,20,136.36,5610,33361.30,134923,132075.20,19.11
Jamtara,57122,40820.22,50515,30367.42,6607,10452.79,4111,6061.01,6,7.97,846,2318.59,57974,43146.78,40.49
Khunti,38380,24576.52,27821,15588.08,10559,8988.44,8103,6460.82,5,42.35,1623,5098.65,40008,29717.52,27.20
Koderma,54539,34279.44,29282,17039.98,25257,17239.46,8703,6694.28,4,12.09,3834,14389.99,58377,48681.52,21.98
Latehar,40849,42271.23,31471,23998.74,9378,18272.49,5738,11412.67,2,2.04,614,1531.94,41465,43805.21,33.88
Lohardaga,39137,27206.57,33492,20735.74,5645,6470.82,3082,4351.15,14,80.32,3106,10149.31,42257,37436.20,34.28
Pakur,49376,43403.49,30577,18103.49,18799,25300.01,13939,12743.28,10,148.89,1835,4258.12,51221,47810.50,31.04
Palamu,148053,118492.39,82834,66481.62,65219,52010.77,41418,32763.88,23,65.84,1132,3956.99,149208,122515.23,33.85
Ramgarh,49490,32759.73,26679,17527.26,22811,15232.47,17418,9645.92,23,88.65,3724,12805.94,53237,45654.32,10.37
Ranchi,1028253,450786.73,203464,89891.64,824789,360895.09,138282,148838.40,147,4699.04,8017,135800.80,1036417,591286.57,12.54
Sahibganj,66031,53372.32,42836,29430.81,23195,23941.51,16922,15722.92,4,41.65,1160,2273.09,67195,55687.07,34.12
Seraikela-Kharsawan,152472,73930.20,67167,37002.51,85305,36927.69,22164,14150.86,23,457.57,4177,17740.89,156672,92128.66,18.37
Simdega,29116,20396.23,22349,10875.56,6767,9520.66,3875,7187.25,22,17.47,2725,6403.23,31863,26816.92,36.93
West Singhbhum,85417,70147.72,71100,47951.48,14317,22196.24,8764,15755.78,80,167.33,3510,10528.16,89007,80843.21,15.45
