district,as_on_31st_march_2025_crop_loan_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_in_pct,npa_amt_in_pct,term_loan_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_in_pct,npa_amt_in_pct,col_14
Bokaro,52349,32419.56,21055,8585.57,40.22,26.48,30736,31187.23,10318,2609.21,33.57,8.37,
Chatra,54698,30676.63,20021,9680.07,36.60,31.56,19094,19794.00,6509,1718.96,34.09,8.68,
Deoghar,89296,52107.02,20908,8374.79,23.41,16.07,27809,26820.41,3927,2098.88,14.12,7.83,
Dhanbad,44027,27864.13,19329,7723.90,43.90,27.72,215576,72789.40,61891,14957.59,28.71,20.55,
Dumka,66993,30830.64,16048,5471.15,23.95,17.75,27391,31259.32,5737,2240.12,20.94,7.17,
East Singhbhum,83149,48526.19,22677,8623.47,27.27,17.77,38034,40221.81,10236,3667.97,26.91,9.12,
Garhwa,58397,50612.80,11970,6154.56,20.50,12.16,40425,29900.43,17612,4271.34,43.57,14.29,
Giridih,84741,48058.23,31640,13688.47,37.34,28.48,65315,46785.10,29634,6698.19,45.37,14.32,
Godda,62941,40595.01,15588,7589.09,24.77,18.69,29581,29161.42,12507,3057.60,42.28,10.49,
Gumla,52915,28298.02,25073,10059.52,47.38,35.55,8874,12957.61,4774,1565.36,53.80,12.08,
Hazaribagh,76870,51697.61,28007,16432.73,36.43,31.79,52423,46879.93,10627,3550.65,20.27,7.57,
Jamtara,50515,30367.42,8882,3224.21,17.58,10.62,6607,10452.79,697,517.19,10.55,4.95,
Khunti,27821,15588.08,8631,3653.13,31.02,23.44,10559,8988.44,3401,1232.35,32.21,13.71,
Koderma,29282,17039.98,13968,6991.87,47.70,41.03,25257,17239.46,5654,1453.14,22.39,8.43,
Latehar,31471,23998.74,6231,2699.02,19.80,11.25,9378,18272.49,6016,1433.27,64.15,7.84,
Lohardaga,33492,20735.74,15841,7490.99,47.30,36.13,5645,6470.82,2240,1324.97,39.68,20.48,
Pakur,30577,18103.49,9960,4082.02,32.57,22.55,18799,25300.01,9263,1897.96,49.27,7.50,
Palamu,82834,66481.62,18472,10337.81,22.30,15.55,65219,52010.77,21283,6366.46,32.63,12.24,
Ramgarh,26679,17527.26,9252,3796.21,34.68,21.66,22811,15232.47,8911,2330.39,39.06,15.30,
Ranchi,203464,89891.64,30033,14487.06,14.76,16.12,824789,360895.09,20541,8943.89,2.49,2.48,
Sahibganj,42836,29430.81,11561,6322.43,26.99,21.48,23195,23941.51,14947,3402.49,64.44,14.21,
Seraikela-Kharsawan,67167,37002.51,16831,7958.34,25.06,21.51,85305,36927.69,2981,1757.86,3.49,4.76,
Simdega,22349,10875.56,8368,3474.64,37.44,31.95,6767,9520.66,1905,989.25,28.15,10.39,
West Singhbhum,71100,47951.48,20806,9405.55,29.26,19.61,14317,22196.24,5122,3293.08,35.78,14.84,
