district,details_of_farmer_total_no_of_farmers_a,out_of_a_total_no_of_operational_holdings_b,out_of_a_total_no_of_pm_kissan_beneficiary_farmers_c,out_of_a_total_no_of_sf_mf_farmers_d,out_of_a_total_no_of_tenant_farmers_e,total_no_of_sf_mf_tena_nt_farmers_d+e_f,benchmark_parameter_coverage_of_farmers_no_of_agri_loan_accounts_g,out_of_g_total_no_of_kcc_a_cs_no_of_a_cs_h,out_of_g_total_no_of_sf_mf_a_cs_no_of_a_cs_i,out_of_g_total_no_of_allied_activities_a_cs_no_of_a_cs_j,out_of_h_total_no_of_kcc_a_cs_total_no_of_pm_kissan_beneficiary_no_of_a_cs_k
Bokaro,87991,87991,55580,87991,0,87991,85934,55580,58919,12960,55580
Chatra,206045,73043,106825,143214,43698,186912,97415,61254,81245,8125,25647
Deoghar,334018,111000,292843,252280,0,252280,118686,89226,89226,16748,89226
Dhanbad,96360,41631,86273,40798,0,40798,0,0,0,0,0
Dumka,120752,108973,104479,116504,0,116504,99528,70328,99528,29200,69139
Garhwa,24800,183398,303525,220000,0,220000,92345,60241,81264,8966,59784
Giridih,21704,18128.71,1359,385,316,701,280,2,7.15,,0
Godda,140000,86782,109736,86400,36750,123150,138100,88500,90950,1250,78500
Gumla,321272,305690,92807,286440,15400,301840,24244,17893,21781,3215,16993
Hazaribagh,232610,129112,224902,115473,1931,117404,137341,88555,119729,21767,70510
Jamtara,125326,37570,112033,75196,2600,77796,63796,48915,29349,5881,41848
Khunti,75000,75000,66851,66505,6489,72994,57347,52119,49614,5674,45746
Koderma,106000,35750,38426,71550,23850,95400,230892,195417,193358,166596,68483
Latehar,77791,75190,57704,60011,0,60011,41121,42137.65,32896,411,
Lohardaga,99780,52916,49437,42686,0,42686,57816,49602,49663,9058,41482
Pakur,124500,111000,90058,90058,34442,124500,10031,76008,60562,95873,75124
Palamu,293231,274040,226117,253478,0,253478,147923,83578,136829,63167,83578
Ramgarh,69508,69508,54893,0,0,0,34414,26918,,11998,
Ranchi,132707,103494,106678,79224,13821,93045,140566,64088,34995,1996,45921
Sahibganj,130000,95088,34302,110000,20000,130000,66931,43682,29570,17171,29580
Simdega,128544,84593,31040,64342,0,64342,48957,39077,29433,9006,36330
