district,as_on_31st_march_2025_agri_infrastructure_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,ancillary_activities_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_agri_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,col_20
Bokaro,36,85.68,4,3.52,11.11,4.11,6993,22742.84,450,800.61,6.44,3.52,90114,86435.31,31827,11998.92,35.32,13.88,
Chatra,2,1.73,1,0.80,50.00,46.22,4537,12614.16,149,178.16,3.28,1.41,78331,63086.52,26680,11577.99,34.06,18.35,
Deoghar,65,824.66,36,154.72,55.38,18.76,997,14384.79,80,226.00,8.02,1.57,118167,94136.87,24951,10854.40,21.12,11.53,
Dhanbad,74,1676.98,1906,629.20,2575.68,37.52,6277,29357.95,449,775.29,7.15,2.64,265954,131688.46,83575,24085.98,31.42,18.29,
Dumka,14,80.85,3,2.50,21.43,3.10,644,4767.09,83,103.52,12.89,2.17,95042,66937.89,21871,7817.29,23.01,11.68,
East Singhbhum,47,829.08,2093,485.94,4453.19,58.61,9552,42580.33,455,2481.43,4.76,5.83,130782,132157.40,35461,15258.80,27.11,11.55,
Garhwa,200,75.30,195,53.11,97.50,70.53,479,1502.65,44,57.92,9.19,3.85,99501,82091.18,29821,10536.93,29.97,12.84,
Giridih,54,141.94,31,50.29,57.41,35.43,6910,27298.30,480,356.87,6.95,1.31,157020,122283.57,61785,20793.82,39.35,17.00,
Godda,41,83.73,,,0.00,0.00,1007,3491.58,84,109.40,8.34,3.13,93570,73331.74,28179,10756.10,30.12,14.67,
Gumla,3,3.88,,,0.00,0.00,4024,12165.50,338,293.70,8.40,2.41,65816,53425.02,30185,11918.57,45.86,22.31,
Hazaribagh,20,136.36,6,62.10,30.00,45.54,5610,33361.30,263,1189.63,4.69,3.57,134923,132075.20,38903,21235.11,28.83,16.08,
Jamtara,6,7.97,3,3.51,50.00,43.96,846,2318.59,31,26.86,3.66,1.16,57974,43146.78,9613,3771.77,16.58,8.74,
Khunti,5,42.35,2061,548.58,41220.00,1295.29,1623,5098.65,76,113.59,4.68,2.23,40008,29717.52,14169,5547.64,35.42,18.67,
Koderma,4,12.09,1,1.07,25.00,8.85,3834,14389.99,149,174.39,3.89,1.21,58377,48681.52,19772,8620.46,33.87,17.71,
Latehar,2,2.04,1,1.79,50.00,87.75,614,1531.94,41,32.23,6.68,2.10,41465,43805.21,12289,4166.31,29.64,9.51,
Lohardaga,14,80.32,4,10.32,28.57,12.85,3106,10149.31,251,339.06,8.08,3.34,42257,37436.20,18336,9165.33,43.39,24.48,
Pakur,10,148.89,,,0.00,0.00,1835,4258.12,87,68.63,4.74,1.61,51221,47810.50,19310,6048.61,37.70,12.65,
Palamu,23,65.84,8,5.85,34.78,8.88,1132,3956.99,227,252.30,20.05,6.38,149208,122515.23,39990,16962.42,26.80,13.85,
Ramgarh,23,88.65,1332,397.29,5791.30,448.15,3724,12805.94,180,281.94,4.83,2.20,53237,45654.32,19675,6805.83,36.96,14.91,
Ranchi,147,4699.04,453,785.05,308.16,16.71,8017,135800.80,717,4774.13,8.94,3.52,1036417,591286.57,51744,28990.14,4.99,4.90,
Sahibganj,4,41.65,1,0.72,25.00,1.73,1160,2273.09,119,128.76,10.26,5.66,67195,55687.07,26628,9854.40,39.63,17.70,
Seraikela-Kharsawan,23,457.57,3,2.64,13.04,0.58,4177,17740.89,392,942.76,9.38,5.31,156672,92128.66,20207,10661.61,12.90,11.57,
Simdega,22,17.47,5,1.05,22.73,6.03,2725,6403.23,140,107.36,5.14,1.68,31863,26816.92,10418,4572.30,32.70,17.05,
West Singhbhum,80,167.33,64,0.62,80.00,0.37,3510,10528.16,172,217.94,4.90,2.07,89007,80843.21,26164,12917.19,29.40,15.98,
