district,as_on_31st_march_2025_loans_to_small_and_marginal_farmers_no,amt,loans_to_sc_st_no,amt,loans_to_shgs_no,amt,loans_to_minority_communities_no,amt,od_under_pmjdy_no,amt,beneficiaries_of_dri_scheme_no,amt,loans_upto_₹_1_lakh_to_women_beneficiaries_no,amt,other_loans_to_weaker_sections_no,amt,total_advances_to_weaker_sections_no,amt,pct_of_loans_to_weaker_sections_to_total_advance_amt,col_21
Bokaro,78956,66683.25,16016,19061.59,4210,10026.04,9309,16725.44,2181,2.02,325,29.45,35952,13748.31,7448,9762.48,123824,105061.09,10.94,
Chatra,72794,57780.23,13881,12359.39,3881,9455.04,6152,6342.20,214,1.27,11,0.59,16106,6185.03,1539,4554.66,83307,66554.28,41.29,
Deoghar,107466,72471.73,22633,18033.87,6138,12038.08,17399,16673.54,653,3.95,41,21.28,29301,12922.09,4660,5194.96,133038,90387.82,19.54,
Dhanbad,225883,90511.01,66411,28300.07,3125,6847.04,65135,40523.56,3855,3.05,390,37.47,231321,56292.72,12290,14291.68,342658,159244.37,9.53,
Dumka,90888,59776.78,26697,22496.01,7788,15764.46,12990,11694.02,835,0.89,27,2.46,42484,16679.76,3911,7420.17,111953,72614.40,30.13,
East Singhbhum,111920,94054.04,37513,37359.76,5611,15913.28,17432,51987.04,1619,5.73,616,69.49,62823,25957.46,6194,13875.70,186535,180875.43,7.19,
Garhwa,94524,75716.81,32245,25720.35,10273,19818.96,15349,15358.73,196,0.09,54,4.08,36960,16380.24,2063,3109.65,106587,83794.40,45.88,
Giridih,145688,102627.28,28493,19668.51,6955,17102.55,20514,18476.01,745,1.50,97,11.87,65630,22513.42,4835,7144.83,187460,131245.61,24.74,
Godda,85616,67887.96,22588,18970.72,5079,12200.51,14180,12585.89,728,0.34,38,3.88,37446,16262.28,5813,11789.25,105444,79499.93,35.57,
Gumla,62749,48069.88,13197,11606.90,3478,9983.42,7285,6909.21,177,2.33,55,5.60,8026,3986.72,1039,1257.46,71119,55713.02,38.36,
Hazaribagh,121518,102321.10,24705,24519.85,7416,18617.14,16221,24933.54,1456,1.66,73,40.23,40416,16429.75,6421,12320.97,159468,137923.83,19.95,
Jamtara,55565,40376.92,15520,11502.66,3003,5638.44,10091,7543.34,552,0.51,38,4.95,10622,5053.06,2145,4164.95,62568,45348.97,42.55,
Khunti,38631,26992.05,13277,9128.06,2120,5599.49,2288,2630.73,728,1.10,8,4.08,10415,3332.24,4128,2932.44,43681,32396.98,29.65,
Koderma,51358,42225.07,9533,9240.04,1509,3957.61,5738,6201.44,239,1.96,23,31.69,15945,5697.33,2006,4322.32,68744,55362.05,24.99,
Latehar,39484,41454.56,13611,13984.92,4773,12233.86,6969,7867.66,243,2.29,17,1.85,10172,5378.85,1785,6078.72,45510,46581.30,36.03,
Lohardaga,40142,33747.16,7473,6520.37,1697,4567.11,5176,5725.00,248,0.13,46,12.03,7768,2973.53,606,547.95,48760,41493.86,37.99,
Pakur,49297,46588.83,16744,15109.83,3535,8116.05,12778,15336.74,278,0.32,5,4.33,37397,14746.99,5954,14482.28,73535,60563.84,39.33,
Palamu,142314,115416.10,49028,40335.50,12512,23907.02,21362,22689.84,170,0.74,49,3.53,59960,27893.74,4366,10898.91,165809,126899.69,35.06,
Ramgarh,46065,34734.86,14676,14281.55,2751,6241.70,5689,8434.15,1684,2.52,146,45.07,27519,9057.19,4804,3619.51,69877,59102.27,13.42,
Ranchi,981131,366523.36,362718,143502.05,12263,33454.65,314600,138536.44,9057,13.92,558,75.24,65829,34604.86,39666,48940.72,1085841,469088.61,9.95,
Sahibganj,60933,50705.93,23940,19522.05,6316,13146.51,11915,14139.88,590,0.41,18,1.23,37271,17352.96,3995,6742.23,84672,66497.06,40.75,
Seraikela-Kharsawan,150973,77504.82,55242,26765.09,4076,11525.29,21304,11208.47,2461,0.96,253,26.39,18355,7714.35,1191,1791.44,177018,94937.98,18.93,
Simdega,29358,24669.97,8125,6456.21,2919,7513.76,4328,4233.12,835,0.10,34,2.46,5662,2242.32,511,653.77,35531,30014.34,41.33,
West Singhbhum,81627,65003.91,29540,28670.82,8064,25705.82,10640,14000.62,5416,4.13,391,30.19,20313,8253.43,759,2365.61,104762,92721.15,17.72,
