district,outstanding_loans_to_women_a_cs,amount,individual_women_a_cs,amount,loans_disbursed_to_women_a_cs,amount,col_8
Bokaro,97316,145052.66,35952,13748.31,38425,54996.43,
Chatra,33993,31642.64,16106,6185.03,13147,10793.29,
Deoghar,62450,69152.14,29301,12922.09,34554,36290.93,
Dhanbad,338795,255978.85,231321,56292.72,77065,93648.76,
Dumka,56981,42573.45,42484,16679.76,29081,23018.35,
East Singhbhum,190145,330379.22,62823,25957.46,94935,132961.72,
Garhwa,53748,31805.87,36960,16380.24,20886,16398.03,
Giridih,121608,85774.98,65630,22513.42,48054,36396.76,
Godda,53037,38789.22,37446,16262.28,24854,21862.48,
Gumla,26032,32799.76,8026,3986.72,10596,11254.31,
Hazaribagh,99376,111715.07,40416,16429.75,41129,46092.87,
Jamtara,16576,15115.06,10622,5053.06,9169,7193.68,
Khunti,21236,21917.45,10415,3332.24,7015,8829.53,
Koderma,47097,46267.59,15945,5697.33,17998,17074.59,
Latehar,15665,15713.89,10172,5378.85,6388,7067.41,
Lohardaga,19655,26177.67,7768,2973.53,8643,9212.62,
Pakur,48627,30380.46,37397,14746.99,30454,20435.44,
Palamu,94217,64324.15,59960,27893.74,33654,29747.84,
Ramgarh,51686,65682.20,27519,9057.19,20471,25217.17,
Ranchi,233552,584929.84,65829,34604.86,102184,215825.03,
Sahibganj,51760,34218.64,37271,17352.96,25790,20269.72,
Seraikela-Kharsawan,50917,66330.37,18355,7714.35,19307,23349.57,
Simdega,16458,18452.76,5662,2242.32,7194,7341.96,
West Singhbhum,51653,58813.90,20313,8253.43,22316,23667.87,
