district,kccs_for_animal_husbandry_and_allied_activities_as_of_31032025_no,amt,from_01042024_to_31032025_no,amt,farmers_producer_organizations_as_of_31032025_no,amt,from_01042024_to_31032025_no,amt,dairy_as_of_31032025_no,amt,from_01042024_to_31032025_no,amt,farm_mechanization_as_of_31032025_no,amt,from_01042024_to_31032025_no,amt,poultry_as_of_31032025_no,amt,from_01042024_to_31032025_no,amt,fisheries_as_of_31032025_no,amt,from_01042024_to_31032025_no,[no_in_actual_and_amt_in_lakh]_annexure_14_b_amt,rural_godowns_as_of_31032025_no,amt,from_01042024_to_31032025_no,amt,agri_clinics_as_of_31032025_no,amt,from_01042024_to_31032025_no,amt
Bokaro,92,109.35,79,92.26,,,,,1925,1172.80,840,833.11,3118,1011.81,685,432.77,446,571.76,283,875.88,496,194.84,285,167.27,,,,,1,0.10,,
Chatra,91,41.64,90,37.60,1,5.05,1,5.00,694,349.07,294,238.73,1855,863.10,257,231.69,374,156.22,211,124.77,625,172.61,206,114.91,,,,,,,,
Deoghar,251,124.25,219,89.38,2,6.04,1,3.18,916,1575.77,427,1053.84,387,563.61,11,41.61,163,158.89,118,155.42,68,24.62,52,28.77,35,37.55,,,,,,
Dhanbad,55705,11372.75,1278,895.06,,,,,1705,1408.65,1045,1042.02,2986,2587.02,699,437.89,381,831.37,251,706.31,639,228.41,460,210.31,1,54.79,,,1,2.06,,
Dumka,67,36.14,49,34.38,5,31.84,4,39.00,814,480.51,250,295.49,407,907.19,152,76.78,228,199.68,111,166.60,281,83.24,161,65.95,,,,,,,,
East Singhbhum,85,213.78,79,328.50,2,13.36,1,20.00,1696,3967.59,1833,4891.21,2975,2786.76,694,583.82,1166,932.32,826,1087.47,396,192.07,314,210.88,2,9.96,,,1,4.15,,
Garhwa,58,47.43,50,39.28,1,,,,2381,706.54,523,284.46,4306,1655.63,941,649.26,304,150.47,140,122.58,425,103.45,160,77.61,118,25.09,,,,,,
Giridih,89,115.96,71,125.50,,,,,2450,1063.15,1031,814.52,4540,2456.37,669,686.36,1050,407.15,449,276.93,801,229.99,348,159.94,1,241.66,1,241.66,2,1.18,,
Godda,204,82.01,188,75.42,1,4.41,1,25.00,4762,1253.36,1718,824.00,3154,1260.21,796,439.08,228,223.31,155,165.95,306,90.05,143,75.44,,,,,,,,
Gumla,74,57.79,55,43.24,,,,,140,159.16,116,106.44,1362,773.61,252,196.80,67,37.50,51,31.79,26,10.24,17,9.15,,,,,,,,
Hazaribagh,337,215.95,264,143.29,,,,,2944,1455.95,1368,1201.15,6562,2590.30,1611,1035.51,760,813.51,443,618.28,803,252.80,302,174.36,4,929.32,,,,,,
Jamtara,42,13.89,38,12.63,,,,,122,142.22,62,99.32,55,78.11,4,1.46,80,41.27,59,36.23,59,17.80,46,19.51,,,,,,,,
Khunti,121,68.26,99,41.05,2,29.14,1,30.00,130,97.50,98,74.32,749,427.89,98,73.82,63,56.90,35,36.00,28,10.16,18,8.40,,,,,,,,
Koderma,46,49.33,36,40.69,,,,,93,130.87,69,106.03,2167,958.85,472,323.56,128,171.81,104,124.48,38,23.72,16,15.84,,,,,,,,
Latehar,212,74.69,204,72.35,,,,,178,153.13,69,76.22,876,1194.70,49,160.92,154,145.46,57,76.05,16,7.91,6,2.97,,,,,,,,
Lohardaga,162,60.92,91,31.66,,,,,114,153.47,63,41.65,412,659.80,77,84.32,44,43.76,24,36.95,38,21.29,22,8.71,,,,,,,,
Pakur,150,102.04,132,88.90,,,,,3158,949.67,1726,838.76,95,39.56,3,1.57,152,61.36,93,52.44,831,265.09,557,280.19,,,,,,,,
Palamu,123,70.44,110,55.07,,,,,3351,1212.16,969,764.40,8775,3441.51,1326,917.67,1040,757.07,518,371.17,1607,409.31,512,238.63,,,,,2,39.13,,
Ramgarh,89,93.17,57,43.66,1,20.09,1,30.00,2742,945.36,837,606.10,2316,785.94,268,232.18,837,423.41,478,302.97,668,206.95,318,159.04,2,33.03,1,15.00,,,,
Ranchi,1183,2436.46,861,16485.98,1,0.10,,,3499,3894.00,2789,3385.95,4896,12379.44,1134,5773.15,555,724.65,351,546.34,639,292.22,403,214.04,4,1198.77,2,752.17,16,33.12,,
Sahibganj,375,247.27,337,220.84,,,,,1849,555.52,383,257.68,1919,1344.10,650,497.03,209,104.44,102,79.73,616,200.08,285,146.34,1,59.84,,,1,,1,
Seraikela-Kharsawan,84,64.91,64,49.05,,,,,443,400.21,210,302.67,1837,1479.26,227,275.54,272,1223.67,180,1224.71,157,98.25,134,95.21,,,,,1,14.13,,
Simdega,23,25.52,20,11.13,1,0.75,1,1.05,118,146.71,104,136.75,125,264.36,16,72.79,40,16.15,23,12.41,30,9.26,16,7.00,,,,,,,,
West Singhbhum,151,159.29,120,124.37,,,,,632,643.87,313,398.95,2404,2573.13,293,174.85,449,230.50,318,195.83,120,68.48,94,61.24,65,156.97,1,156.35,1,13.41,,
