district,shgs_credit_linkage_target_fy_2024_25_total_no_shgs_for_credit_linkage,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh,achievements_as_on_31032025_total_shgs_repeat_renewals_enhancement_fy_2024_25,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh
Bokaro,9860,18050,25140,10479,21477,30880
Chatra,7300,13360,18610,8994,16599,25306
Deoghar,6280,11490,16000,6928,14708,18071
Dhanbad,7080,12950,18040,7663,16590,21668
Dumka,8090,14810,20620,8690,18980,23835
Garhwa,8200,15020,20910,8421,17965,21384
Giridih,12470,22830,31800,13406,27848,40182
Godda,6450,11800,16430,7801,16360,22512
Gumla,6290,11510,16030,5079,11386,17698
Hazaribagh,11160,20420,28440,13015,29993,39414
Jamtara,3980,7280,10140,4668,8358,11008
Khunti,3870,7080,9860,3806,7490,12414
Koderma,5000,9160,12750,6068,12213,19888
Latehar,5420,9920,13820,6368,12919,19107
Lohardaga,3460,6340,8830,3158,6686,11339
Pakur,5920,10840,15100,7172,13020,22162
Palamu,12390,22680,31590,13327,25639,34192
Ramgarh,5700,10440,14540,5871,11797,17974
Ranchi,14860,27210,37890,14315,29535,48143
Sahibganj,5880,10760,14980,7393,13028,18020
Simdega,4330,7900,11030,4416,8250,13212
West Singhbhum,9230,16890,23520,9061,17051,33046
