district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt,col_16
Bokaro,1779,3869.63,19110,31617.29,766,924.60,373,2527.71,2,0.29,160,1845.93,22190,40785.45,
Chatra,2491,2624.07,7289,8577.68,7,5.58,76,182.62,5,35.74,28,118.84,9896,11544.52,
Deoghar,5517,4299.03,21336,20575.82,148,286.04,329,319.95,6,41.53,16,55.91,27352,25578.29,
Dhanbad,3477,5271.13,84124,71232.88,988,630.61,812,7209.53,5,52.13,88,2065.89,89494,86462.18,
Dumka,5895,6335.45,10898,11533.80,45,63.58,45,59.25,5,15.45,16,5.49,16904,18013.02,
East Singhbhum,4521,11373.33,23659,61990.87,1105,1544.14,3900,31181.78,28,89.92,95,936.59,33308,107116.63,
Garhwa,6307,6446.05,13170,13705.58,21,21.69,25,50.25,,,21,10.61,19544,20234.18,
Giridih,3384,3331.07,39497,35870.98,99,179.70,143,849.39,3,0.52,120,678.68,43246,40910.35,
Godda,4158,3820.79,16323,17946.18,44,47.90,105,72.39,,,13,5.14,20643,21892.39,
Gumla,9325,9560.74,7926,7276.05,5,5.30,88,315.04,1,0.23,7,26.28,17352,17183.64,
Hazaribagh,3193,5728.93,26628,40844.27,265,255.79,244,1589.64,17,31.01,208,702.32,30555,49151.97,
Jamtara,3527,2497.79,11583,9536.94,8,3.48,26,108.07,,,14,94.45,15158,12240.72,
Khunti,6455,7125.50,2302,3102.17,64,29.82,88,200.49,3,6.96,24,151.92,8936,10616.86,
Koderma,581,1059.41,9795,10026.28,5,9.99,102,729.17,1,0.44,45,286.71,10529,12112.00,
Latehar,3363,4902.50,6059,8077.58,21,26.01,29,120.93,,,17,72.33,9489,13199.35,
Lohardaga,2564,3181.11,14078,12724.12,6,17.64,18,20.32,2,9.39,21,14.91,16689,15967.49,
Pakur,2739,3007.82,34041,28132.14,4,4.86,96,188.37,3,7.74,6,50.81,36889,31391.75,
Palamu,9553,9955.44,18756,21446.39,20,18.82,90,420.11,4,2.01,46,97.68,28469,31940.45,
Ramgarh,1009,2871.96,11920,19168.43,108,180.68,494,2019.46,1,0.60,53,841.36,13585,25082.49,
Ranchi,29293,64170.32,323034,176350.64,1865,2115.24,1302,11112.26,10,26.91,335,5544.03,355839,259319.39,
Sahibganj,3662,3679.33,18647,18975.75,60,209.87,113,110.14,1,0.32,13,10.34,22496,22985.75,
Seraikela-Kharsawan,3017,3210.08,20311,12092.36,102,222.34,232,1079.81,1,118.15,21,28.09,23684,16750.84,
Simdega,11737,12275.59,2226,3096.02,3,1.23,36,64.16,,,16,124.78,14018,15561.78,
West Singhbhum,6439,6905.46,7809,11379.40,199,502.75,562,2304.22,18,48.21,81,168.49,15108,21308.53,
