district,as_on_31st_march_2025_micro*_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,small_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,medium_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,other_msme_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_msme_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,col_32
Bokaro,44480,176073.01,11557,28980,25.98,16.46,1361,77596.95,221,3721,16.24,4.80,319,52947.91,12,1569,3.76,2.96,78,200.49,37,18,47.4,9.2,46238,306818,11827,34289,25.58,11.18,
Chatra,8246,29631.12,2727,5186,33.07,17.50,124,4073.12,23,111,18.55,2.73,40,324.75,3,5,7.50,1.43,1,1.31,1,1,100.00,100.00,8411,34030,2754,5303,32.74,15.58,
Deoghar,22103,93421.01,5054,6405,22.87,6.86,664,36159.24,96,904,14.46,2.50,106,18678.38,,,0.00,0.00,16,22.48,7,7,43.75,29.31,22889,148281,5157,7316,22.53,4.93,
Dhanbad,64727,272854.44,14587,23744,22.54,8.70,2635,169090.63,291,4075,11.04,2.41,608,68562.05,22,989,3.62,1.44,92,428.64,23,36,25.00,8.37,68062,510936,14923,28843,21.93,5.65,
Dumka,12695,42594.18,3830,3786,30.17,8.89,371,18062.27,33,228,8.89,1.26,63,5185.69,3,16,4.76,0.31,8,91.00,6,0,75.0,0.0,13137,65933,3872,4030,29.47,6.11,
East Singhbhum,65730,378743.27,15106,40303,22.98,10.64,5617,267205.94,496,9789,8.83,3.66,2092,169704.34,47,565,2.25,0.33,48,825.09,26,61,54.17,7.36,73487,816479,15675,50718,21.33,6.21,
Garhwa,7475,25020.12,2225,1756,29.77,7.02,147,4361.26,14,31,9.52,0.71,6,841.84,1,7,16.67,0.81,4,36.25,,,0.0,0.0,7632,30259,2240,1794,29.35,5.93,
Giridih,34515,103244.59,9007,10284,26.10,9.96,499,37956.86,72,1721,14.43,4.53,123,7445.48,2,0,1.63,0.00,5,44.00,1,1,20.00,3.01,35142,148691,9082,12007,25.84,8.07,
Godda,12237,37644.66,3191,3444,26.08,9.15,283,7464.97,80,185,28.27,2.48,13,992.68,5,7,38.46,0.67,43,34.92,26,7,60.47,19.36,12576,46137,3302,3642,26.26,7.89,
Gumla,7315,24044.10,2617,3668,35.78,15.26,164,5477.29,27,35,16.46,0.64,33,351.56,,,0.00,0.00,2,0.50,1,0,50.00,2.13,7514,29873,2645,3703,35.20,12.40,
Hazaribagh,34109,165705.05,8529,16250,25.01,9.81,1124,41460.83,293,1837,26.07,4.43,198,16238.07,13,58,6.57,0.36,8,14.87,3,0,37.50,1.97,35439,223419,8838,18145,24.94,8.12,
Jamtara,6322,14482.90,1695,1911,26.81,13.20,83,2504.04,19,530,22.89,21.18,24,290.36,,,0.00,0.00,4,0.17,2,0,50.00,55.81,6433,17277,1716,2442,26.67,14.13,
Khunti,5346,15967.94,1555,2060,29.09,12.90,116,4348.71,20,53,17.24,1.22,7,475.80,,,0.00,0.00,7,8.14,,,0.00,0.00,5476,20801,1575,2113,28.76,10.16,
Koderma,16486,60855.11,4348,8402,26.37,13.81,443,14210.37,65,715,14.67,5.03,67,4075.15,2,29,2.99,0.70,3,10.53,1,7,33.33,71.22,16999,79151,4416,9153,25.98,11.56,
Latehar,6793,20255.33,1036,1237,15.25,6.11,82,3304.74,6,16,7.32,0.49,7,236.50,1,1,14.29,0.58,2,56.34,1,6,50.00,10.63,6884,23853,1044,1261,15.17,5.29,
Lohardaga,6182,19492.49,1911,2908,30.91,14.92,174,4903.02,46,191,26.44,3.90,16,150.60,,,0.00,0.00,7,17.67,5,13,71.43,74.91,6379,24564,1962,3112,30.76,12.67,
Pakur,14341,32532.03,1878,1999,13.10,6.15,214,7640.80,20,61,9.35,0.80,36,1097.65,2,3,5.56,0.27,2,3.60,,,0.00,0.00,14593,41274,1900,2063,13.02,5.00,
Palamu,14623,50841.14,5038,5630,34.45,11.07,376,15175.74,66,424,17.55,2.79,41,1804.43,2,4,4.88,0.19,6,12.62,2,1,33.33,9.37,15046,67834,5108,6058,33.95,8.93,
Ramgarh,20109,81803.37,6349,11957,31.57,14.62,541,35911.32,56,1472,10.35,4.10,223,7986.62,8,8,3.59,0.10,7,1.83,3,0,42.86,0.70,20880,125703,6416,13437,30.73,10.69,
Ranchi,100114,563806.41,19401,65309,19.38,11.58,4985,320540.35,696,24940,13.96,7.78,868,185812.88,44,11984,5.07,6.45,102,1447.28,47,28,46.08,1.95,106069,1071607,20188,102261,19.03,9.54,
Sahibganj,13330,27924.51,3215,2969,24.12,10.63,205,4874.20,18,103,8.78,2.11,32,483.74,1,73,3.13,15.17,1,33.65,,,0.00,0.00,13568,33316,3234,3145,23.84,9.44,
Seraikela-Kharsawan,23560,73443.21,5398,7367,22.91,10.03,985,65715.23,77,2065,7.82,3.14,337,40683.13,2,0,0.59,0.00,43,382.35,20,10,46.51,2.64,24925,180224,5497,9443,22.05,5.24,
Simdega,4978,14175.50,1591,2096,31.96,14.79,89,1392.71,29,66,32.58,4.72,4,16.23,1,1,25.00,6.47,3,0.06,2,0,66.67,67.10,5074,15585,1623,2163,31.99,13.88,
West Singhbhum,17046,47544.60,4830,7430,28.34,15.63,529,20547.18,165,2174,31.19,10.58,99,2118.98,14,13,14.14,0.60,43,79.18,18,27,41.86,34.56,17717,70290,5027,9644,28.37,13.72,
