district,total_advance_target_no,amt,total_advance_no,amt,achv_pct_amt,col_7
Bokaro,198234,791472.93,132294,648696.19,81.96,
Chatra,89620,122629.27,54932,94126.06,76.76,
Deoghar,198476,396751.37,105743,311147.53,78.42,
Dhanbad,295353,1184484.02,192948,1062181.13,89.67,
Dumka,143480,208116.61,81121,157416.72,75.64,
East Singhbhum,421578,2057318.53,313570,1877575.67,91.26,
Garhwa,138800,178297.87,63081,117927.68,66.14,
Giridih,214147,445358.44,133416,366895.31,82.38,
Godda,124862,176151.86,71115,138011.95,78.35,
Gumla,66630,110347.65,36930,79914.65,72.42,
Hazaribagh,206708,477946.88,137771,417551.80,87.36,
Jamtara,81484,93062.16,45142,65614.65,70.51,
Khunti,51698,77698.85,29624,60503.32,77.87,
Koderma,84196,168862.23,49734,137773.13,81.59,
Latehar,66981,99054.14,37902,79823.15,80.59,
Lohardaga,48277,85253.51,29871,63733.86,74.76,
Pakur,96632,120015.28,64533,101452.89,84.53,
Palamu,223942,323744.32,98818,220911.18,68.24,
Ramgarh,100965,302314.10,66097,282902.47,93.58,
Ranchi,1213093,4175989.52,923926,4209847.51,100.81,
Sahibganj,108009,135093.00,57628,99124.48,73.37,
Seraikela-Kharsawan,188377,392013.33,134870,421571.61,107.54,
Simdega,36926,53777.55,22414,40806.06,75.88,
West Singhbhum,125547,454246.59,74179,463686.12,102.08,
